,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
20,20,0.19269999861717224,2024-07-28 11:48:43.526981,2024-07-28 11:52:15.501685,0 days 00:03:31.974704,6,False,True,,,,,,,0.16,223,8.0,,,,,,,11.0,,,,,,,2,True,True,,,,,,,2,2,51.0,,COMPLETE
21,21,0.7129999995231628,2024-07-28 11:52:15.521688,2024-07-28 11:53:41.114544,0 days 00:01:25.592856,9,False,True,,,,,,,0.05,283,7.0,,,,,,,3.0,,,,,,,3,True,True,,,,,,,2,1,,,COMPLETE
22,22,0.7520999908447266,2024-07-28 11:52:35.165042,2024-07-28 11:54:30.333669,0 days 00:01:55.168627,7,False,False,True,True,True,,,,0.28,108,7.0,5.0,5.0,7.0,,,,3.0,9.0,9.0,9.0,,,,3,False,True,True,True,False,,,,5,1,,,COMPLETE
23,23,0.7361000180244446,2024-07-28 11:53:41.130281,2024-07-28 11:57:14.065834,0 days 00:03:32.935553,7,False,False,True,True,True,,,,0.27,118,7.0,5.0,5.0,7.0,,,,3.0,9.0,9.0,9.0,,,,4,False,True,True,True,False,,,,5,1,,,COMPLETE
24,24,0.7592999935150146,2024-07-28 11:54:30.352989,2024-07-28 11:57:27.549241,0 days 00:02:57.196252,7,False,False,True,True,,,,,0.27,121,7.0,6.0,5.0,,,,,3.0,9.0,3.0,,,,,3,False,True,True,True,,,,,4,1,,,COMPLETE
25,25,0.7545999884605408,2024-07-28 11:57:14.083820,2024-07-28 11:59:43.341919,0 days 00:02:29.258099,8,False,False,True,True,,,,,0.36,193,6.0,6.0,5.0,,,,,3.0,9.0,5.0,,,,,3,False,True,True,True,,,,,4,1,,,COMPLETE
26,26,0.12999999523162842,2024-07-28 11:57:27.557888,2024-07-28 11:58:25.548098,0 days 00:00:57.990210,8,False,False,True,True,,,,,0.37,64,6.0,6.0,5.0,,,,,3.0,9.0,3.0,,,,,1,False,True,True,True,,,,,4,2,4.0,,COMPLETE
27,27,0.7573999762535095,2024-07-28 11:58:25.564103,2024-07-28 12:06:27.255779,0 days 00:08:01.691676,6,True,False,True,True,,,,,0.2,110,8.0,5.0,5.0,,,,,3.0,9.0,3.0,,,,,3,False,True,True,True,,,,,4,1,,,COMPLETE
28,28,0.717199981212616,2024-07-28 11:59:43.361028,2024-07-28 12:04:32.096897,0 days 00:04:48.735869,9,True,False,True,True,,,,,0.2,192,6.0,6.0,5.0,,,,,11.0,9.0,5.0,,,,,2,False,True,True,True,,,,,4,1,,,COMPLETE
29,29,0.10000000149011612,2024-07-28 12:04:32.118146,2024-07-28 12:12:09.646832,0 days 00:07:37.528686,6,False,False,True,,,,,,0.4,209,6.0,6.0,,,,,,9.0,9.0,,,,,,1,False,True,True,,,,,,3,2,10.0,,COMPLETE
30,30,0.10000000149011612,2024-07-28 12:06:27.271437,2024-07-28 12:18:25.729230,0 days 00:11:58.457793,6,True,False,True,True,True,False,True,False,0.11,99,8.0,5.0,7.0,5.0,8.0,8.0,8.0,9.0,9.0,3.0,11.0,3.0,9.0,5.0,1,False,True,True,True,True,,,,8,2,11.0,,COMPLETE
31,31,0.44200000166893005,2024-07-28 12:12:09.669861,2024-07-28 12:22:43.578480,0 days 00:10:33.908619,6,True,True,True,True,True,False,True,,0.11,12,8.0,5.0,7.0,5.0,8.0,8.0,,3.0,9.0,3.0,11.0,7.0,5.0,,2,False,True,True,True,True,,,,7,2,42.0,,COMPLETE
