,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
74,74,0.7921000123023987,2024-07-28 16:35:06.992663,2024-07-28 16:54:10.885883,0 days 00:19:03.893220,8,True,True,False,False,True,True,True,False,0.22,53,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
75,75,0.7592999935150146,2024-07-28 16:49:31.521832,2024-07-28 17:18:24.243587,0 days 00:28:52.721755,8,True,True,False,False,True,True,True,False,0.25,53,7.0,5.0,7.0,5.0,6.0,8.0,5.0,9.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
76,76,0.7475000023841858,2024-07-28 16:54:10.901614,2024-07-28 17:18:09.738003,0 days 00:23:58.836389,9,True,True,False,False,True,True,True,False,0.25,166,7.0,6.0,7.0,5.0,6.0,8.0,5.0,9.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
77,77,0.8054999709129333,2024-07-28 17:18:09.738003,2024-07-28 17:38:06.979743,0 days 00:19:57.241740,8,True,True,False,False,True,True,True,False,0.28,136,7.0,5.0,7.0,7.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
78,78,0.7901999950408936,2024-07-28 17:18:24.258225,2024-07-28 17:51:33.386590,0 days 00:33:09.128365,7,True,True,False,False,False,True,True,False,0.27,137,7.0,6.0,7.0,7.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,False,False,True,8,1,,,COMPLETE
79,79,0.7617999911308289,2024-07-28 17:38:06.995629,2024-07-28 17:57:58.229957,0 days 00:19:51.234328,7,True,True,False,False,False,True,True,False,0.28,146,7.0,5.0,7.0,7.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,4,False,False,False,True,True,False,False,True,8,1,,,COMPLETE
80,80,0.10000000149011612,2024-07-28 17:51:33.395096,2024-07-28 17:57:43.989851,0 days 00:06:10.594755,9,True,True,False,False,True,True,False,False,0.29,68,7.0,5.0,7.0,7.0,6.0,8.0,5.0,7.0,7.0,11.0,7.0,5.0,11.0,5.0,1,False,False,False,True,True,True,False,True,8,1,,,COMPLETE
81,81,0.7520999908447266,2024-07-28 17:57:44.008432,2024-07-28 18:16:58.901697,0 days 00:19:14.893265,8,True,True,False,False,True,True,True,False,0.18,75,7.0,5.0,7.0,8.0,8.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,3.0,5.0,4,False,False,False,True,False,True,False,False,8,1,,,COMPLETE
82,82,0.7926999926567078,2024-07-28 17:57:58.245963,2024-07-28 18:21:05.682039,0 days 00:23:07.436076,8,True,True,False,False,True,True,True,False,0.23,39,7.0,5.0,7.0,8.0,6.0,8.0,5.0,7.0,5.0,11.0,7.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
83,83,0.7835000157356262,2024-07-28 18:16:58.919197,2024-07-28 18:34:35.009808,0 days 00:17:36.090611,8,True,True,False,False,True,True,True,False,0.23,41,7.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,11.0,5.0,11.0,5.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
84,84,0.7608000040054321,2024-07-28 18:21:05.693096,2024-07-28 18:42:45.386384,0 days 00:21:39.693288,8,True,True,False,False,True,True,True,False,0.32,259,6.0,5.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,11.0,11.0,3.0,11.0,9.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
85,85,0.7548999786376953,2024-07-28 18:34:35.025673,2024-07-28 18:51:46.358822,0 days 00:17:11.333149,8,True,True,False,False,True,True,False,False,0.3,28,6.0,6.0,7.0,6.0,6.0,8.0,6.0,7.0,5.0,11.0,7.0,3.0,11.0,9.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
86,86,0.8233000040054321,2024-07-28 18:42:45.399061,2024-07-28 18:58:11.512795,0 days 00:15:26.113734,8,True,True,False,False,True,True,False,False,0.3,32,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,5.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
87,87,0.7347000241279602,2024-07-28 18:51:46.378361,2024-07-28 19:07:31.449592,0 days 00:15:45.071231,8,True,True,False,False,True,True,True,,0.27,62,7.0,5.0,7.0,7.0,6.0,6.0,,7.0,5.0,9.0,7.0,5.0,5.0,,2,False,False,False,True,False,True,False,,7,1,,,COMPLETE
88,88,0.7738000154495239,2024-07-28 18:58:11.530695,2024-07-28 19:27:32.569857,0 days 00:29:21.039162,9,True,True,False,False,True,True,False,,0.28,61,7.0,5.0,7.0,7.0,6.0,6.0,,7.0,5.0,9.0,7.0,5.0,5.0,,2,False,False,False,True,False,True,False,,7,1,,,COMPLETE
89,89,0.7967000007629395,2024-07-28 19:07:31.465599,2024-07-28 19:26:56.588932,0 days 00:19:25.123333,9,True,True,False,False,True,True,False,,0.35000000000000003,45,7.0,5.0,8.0,7.0,6.0,7.0,,7.0,5.0,9.0,7.0,5.0,11.0,,3,False,False,False,True,False,True,False,,7,1,,,COMPLETE
90,90,0.4178999960422516,2024-07-28 19:26:56.604804,2024-07-28 19:45:12.481264,0 days 00:18:15.876460,8,True,True,False,False,True,True,False,True,0.26,105,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,2,False,False,False,True,False,True,False,True,8,3,77.0,17.0,COMPLETE
91,91,0.8057000041007996,2024-07-28 19:27:32.591730,2024-07-28 19:51:19.824511,0 days 00:23:47.232781,8,True,True,False,False,True,True,False,True,0.31,16,7.0,6.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,3,72.0,14.0,COMPLETE
92,92,0.7904999852180481,2024-07-28 19:45:12.496875,2024-07-28 20:06:16.412053,0 days 00:21:03.915178,9,True,True,False,False,True,True,False,True,0.33,45,7.0,5.0,8.0,7.0,6.0,7.0,6.0,7.0,5.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,1,,,COMPLETE
93,93,0.7868000268936157,2024-07-28 19:51:19.840259,2024-07-28 20:19:45.851369,0 days 00:28:26.011110,8,True,True,False,False,True,True,False,True,0.3,18,7.0,6.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,3,74.0,14.0,COMPLETE
94,94,0.800000011920929,2024-07-28 20:06:16.431461,2024-07-28 20:32:35.533951,0 days 00:26:19.102490,8,True,True,False,False,True,True,False,True,0.3,27,7.0,6.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,3,79.0,14.0,COMPLETE
95,95,0.8015999794006348,2024-07-28 20:19:45.866895,2024-07-28 20:45:40.917932,0 days 00:25:55.051037,8,True,True,False,False,True,True,False,True,0.29,28,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,2,57.0,,COMPLETE
96,96,0.791100025177002,2024-07-28 20:32:35.549556,2024-07-28 21:01:37.182940,0 days 00:29:01.633384,8,True,True,False,False,True,True,False,True,0.26,17,7.0,6.0,7.0,6.0,7.0,8.0,8.0,11.0,7.0,11.0,5.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,True,8,2,54.0,,COMPLETE
97,97,0.4401000142097473,2024-07-28 20:45:40.940407,2024-07-28 21:06:12.165942,0 days 00:20:31.225535,8,True,True,False,False,True,True,True,False,0.31,15,7.0,6.0,7.0,6.0,7.0,8.0,5.0,7.0,5.0,11.0,5.0,11.0,11.0,11.0,3,False,False,False,True,False,True,True,True,8,2,16.0,,COMPLETE
98,98,0.5809999704360962,2024-07-28 21:01:37.191947,2024-07-28 21:06:18.528550,0 days 00:04:41.336603,7,True,,,,,,,,0.31,54,,,,,,,,,,,,,,,3,False,,,,,,,,1,1,,,COMPLETE
99,99,0.5637000203132629,2024-07-28 21:06:12.177851,2024-07-28 21:14:35.905294,0 days 00:08:23.727443,7,True,,,,,,,,0.33,53,,,,,,,,,,,,,,,3,False,,,,,,,,1,1,,,COMPLETE
100,100,0.8012999892234802,2024-07-28 21:06:18.550236,2024-07-28 21:54:27.931182,0 days 00:48:09.380946,8,True,True,False,False,True,True,True,,0.35000000000000003,76,6.0,6.0,8.0,7.0,6.0,6.0,,7.0,5.0,11.0,7.0,7.0,7.0,,4,False,False,False,False,False,True,True,,7,3,30.0,33.0,COMPLETE
101,101,0.7523999810218811,2024-07-28 21:14:35.921047,2024-07-28 22:19:44.770744,0 days 01:05:08.849697,8,False,True,False,False,True,True,True,,0.24,211,6.0,7.0,8.0,7.0,6.0,6.0,,7.0,5.0,5.0,3.0,7.0,3.0,,4,False,False,False,False,False,True,True,,7,3,32.0,36.0,COMPLETE
102,102,0.8086000084877014,2024-07-28 21:54:27.950561,2024-07-28 22:23:43.009642,0 days 00:29:15.059081,8,True,True,False,False,True,True,False,True,0.28,27,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,False,8,2,105.0,,COMPLETE
103,103,0.8032000064849854,2024-07-28 22:19:44.786601,2024-07-28 22:45:50.579371,0 days 00:26:05.792770,8,True,True,False,False,True,True,False,True,0.29,31,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,False,8,2,99.0,,COMPLETE
104,104,0.7706999778747559,2024-07-28 22:23:43.017131,2024-07-28 22:45:05.094612,0 days 00:21:22.077481,8,True,True,False,False,True,True,False,True,0.28,33,7.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,9.0,7.0,5.0,11.0,3.0,3,False,False,False,True,False,True,False,False,8,1,,,COMPLETE
105,105,0.7856000065803528,2024-07-28 22:45:05.094612,2024-07-28 22:56:44.515418,0 days 00:11:39.420806,8,True,True,False,False,True,True,False,True,0.2,40,7.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,9.0,7.0,5.0,11.0,11.0,3,False,False,False,True,False,True,False,False,8,1,,,COMPLETE
106,106,0.7279000282287598,2024-07-28 22:45:50.595231,2024-07-28 23:01:48.343083,0 days 00:15:57.747852,5,True,True,False,False,True,False,False,True,0.32,41,7.0,6.0,7.0,7.0,5.0,6.0,7.0,9.0,7.0,9.0,7.0,9.0,11.0,3.0,3,True,False,False,True,False,True,True,,8,2,106.0,,COMPLETE
107,107,0.7656999826431274,2024-07-28 22:56:44.536569,2024-07-28 23:25:58.308755,0 days 00:29:13.772186,5,True,True,False,False,True,False,False,True,0.32,26,7.0,6.0,7.0,7.0,5.0,6.0,7.0,9.0,7.0,9.0,7.0,9.0,9.0,3.0,3,True,False,False,True,False,True,True,,8,2,104.0,,COMPLETE
108,108,0.82669997215271,2024-07-28 23:01:48.356213,2024-07-28 23:13:02.772440,0 days 00:11:14.416227,8,True,True,False,False,True,False,False,True,0.35000000000000003,66,7.0,6.0,7.0,7.0,5.0,6.0,8.0,5.0,7.0,9.0,7.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,95.0,,COMPLETE
109,109,0.8116000294685364,2024-07-28 23:13:02.783170,2024-07-28 23:23:38.105051,0 days 00:10:35.321881,8,True,True,False,False,True,False,False,,0.35000000000000003,66,7.0,6.0,7.0,7.0,5.0,6.0,,5.0,7.0,9.0,9.0,9.0,9.0,,3,False,False,False,True,False,True,True,,7,2,125.0,,COMPLETE
110,110,0.10000000149011612,2024-07-28 23:23:38.120720,2024-07-28 23:30:03.098127,0 days 00:06:24.977407,9,True,True,False,False,True,False,False,,0.35000000000000003,68,7.0,6.0,7.0,7.0,5.0,6.0,,5.0,7.0,9.0,3.0,9.0,9.0,,2,False,False,False,True,False,True,True,,7,2,125.0,,COMPLETE
111,111,0.10000000149011612,2024-07-28 23:25:58.325710,2024-07-28 23:55:33.295419,0 days 00:29:34.969709,8,True,True,False,False,True,False,False,,0.35000000000000003,81,7.0,6.0,7.0,7.0,5.0,7.0,,5.0,7.0,9.0,11.0,9.0,9.0,,2,False,False,False,True,False,True,True,,7,2,127.0,,COMPLETE
112,112,0.8004000186920166,2024-07-28 23:30:03.114467,2024-07-28 23:53:24.695233,0 days 00:23:21.580766,8,True,True,False,False,True,False,False,True,0.35000000000000003,47,7.0,6.0,7.0,7.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,86.0,,COMPLETE
113,113,0.8159999847412109,2024-07-28 23:53:24.711126,2024-07-29 00:18:19.311763,0 days 00:24:54.600637,8,True,True,False,False,True,False,False,True,0.37,59,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,128.0,,COMPLETE
114,114,0.8065000176429749,2024-07-28 23:55:33.295419,2024-07-29 00:18:18.623053,0 days 00:22:45.327634,8,True,True,False,False,True,False,True,True,0.37,56,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,7.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,62.0,,COMPLETE
115,115,0.6563000082969666,2024-07-29 00:18:18.640368,2024-07-29 03:26:09.879652,0 days 03:07:51.239284,4,True,True,False,False,True,False,True,True,0.33,59,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,42.0,,COMPLETE
116,116,0.7921000123023987,2024-07-29 00:18:19.327475,2024-07-29 00:28:54.451520,0 days 00:10:35.124045,8,True,True,False,False,True,False,False,True,0.37,66,7.0,6.0,7.0,7.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,92.0,,COMPLETE
117,117,0.8238999843597412,2024-07-29 00:28:54.470965,2024-07-29 00:43:01.489051,0 days 00:14:07.018086,8,True,True,False,False,True,False,False,True,0.33,58,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,68.0,,COMPLETE
118,118,0.7960000038146973,2024-07-29 00:43:01.504605,2024-07-29 00:54:47.346871,0 days 00:11:45.842266,8,True,True,False,False,True,False,False,True,0.37,56,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,True,False,True,False,8,2,68.0,,COMPLETE
119,119,0.775600016117096,2024-07-29 00:54:47.356373,2024-07-29 01:12:05.870301,0 days 00:17:18.513928,8,False,True,False,False,False,False,False,True,0.37,71,7.0,6.0,8.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,63.0,,COMPLETE
120,120,0.8299999833106995,2024-07-29 01:12:05.890167,2024-07-29 01:32:18.898408,0 days 00:20:13.008241,7,True,True,False,False,True,False,False,True,0.33,86,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,88.0,,COMPLETE
121,121,0.822700023651123,2024-07-29 01:32:18.914423,2024-07-29 01:44:26.423124,0 days 00:12:07.508701,7,True,True,False,False,True,False,False,True,0.33,102,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,87.0,,COMPLETE
122,122,0.8252000212669373,2024-07-29 01:44:26.433265,2024-07-29 01:57:22.924432,0 days 00:12:56.491167,7,True,True,False,False,True,False,False,True,0.33,97,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,89.0,,COMPLETE
123,123,0.8084999918937683,2024-07-29 01:57:22.940467,2024-07-29 02:08:42.400070,0 days 00:11:19.459603,7,True,True,False,False,True,False,False,True,0.33,93,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,88.0,,COMPLETE
124,124,0.7908999919891357,2024-07-29 02:08:42.407988,2024-07-29 02:22:26.618920,0 days 00:13:44.210932,7,True,True,False,False,True,False,False,True,0.33,97,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,92.0,,COMPLETE
125,125,0.8274999856948853,2024-07-29 02:22:26.642491,2024-07-29 02:40:11.490956,0 days 00:17:44.848465,7,True,True,False,False,True,False,False,True,0.36,116,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,111.0,,COMPLETE
126,126,0.7659000158309937,2024-07-29 02:40:11.504579,2024-07-29 02:57:54.856307,0 days 00:17:43.351728,7,True,True,False,False,True,False,False,True,0.39,110,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,108.0,,COMPLETE
127,127,0.8213000297546387,2024-07-29 02:57:54.856307,2024-07-29 03:10:49.849807,0 days 00:12:54.993500,7,True,True,False,False,True,False,False,True,0.36,85,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,88.0,,COMPLETE
128,128,0.7989000082015991,2024-07-29 03:10:49.849807,2024-07-29 03:20:33.804954,0 days 00:09:43.955147,7,True,True,False,False,True,False,False,True,0.36,87,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,87.0,,COMPLETE
129,129,0.7875999808311462,2024-07-29 03:20:33.825323,2024-07-29 03:38:42.433676,0 days 00:18:08.608353,6,True,True,False,False,True,False,False,True,0.38,117,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,110.0,,COMPLETE
130,130,0.8095999956130981,2024-07-29 03:26:09.896276,2024-07-29 03:52:19.256797,0 days 00:26:09.360521,6,True,True,False,False,True,False,False,True,0.4,92,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,108.0,,COMPLETE
131,131,0.7864999771118164,2024-07-29 03:38:42.444491,2024-07-29 03:51:34.965637,0 days 00:12:52.521146,7,True,True,False,False,True,False,False,True,0.4,100,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,89.0,,COMPLETE
132,132,0.8270999789237976,2024-07-29 03:51:34.986026,2024-07-29 04:14:08.596528,0 days 00:22:33.610502,7,True,True,False,False,True,False,False,True,0.36,84,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,117.0,,COMPLETE
133,133,0.8183000087738037,2024-07-29 03:52:19.277417,2024-07-29 04:34:47.325352,0 days 00:42:28.047935,6,True,True,False,False,True,False,False,True,0.36,85,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,115.0,,COMPLETE
134,134,0.7861999869346619,2024-07-29 04:14:08.596528,2024-07-29 04:43:03.314344,0 days 00:28:54.717816,6,True,True,False,False,True,False,False,True,0.36,85,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,128.0,,COMPLETE
135,135,0.8029000163078308,2024-07-29 04:34:47.342002,2024-07-29 05:05:54.285648,0 days 00:31:06.943646,6,True,True,False,False,True,False,False,True,0.36,85,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,True,True,False,8,2,128.0,,COMPLETE
136,136,0.741599977016449,2024-07-29 04:43:03.330319,2024-07-29 06:43:41.755540,0 days 02:00:38.425221,6,True,True,False,False,True,False,False,True,0.41000000000000003,127,7.0,6.0,7.0,5.0,5.0,6.0,8.0,5.0,7.0,9.0,9.0,9.0,9.0,11.0,3,False,False,False,True,False,False,True,False,8,2,114.0,,COMPLETE
137,137,0.8343999981880188,2024-07-29 05:05:54.293649,2024-07-29 05:32:30.240854,0 days 00:26:35.947205,6,True,True,False,False,True,,,,0.41000000000000003,102,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,109.0,,COMPLETE
138,138,0.13349999487400055,2024-07-29 05:32:30.256529,2024-07-29 05:52:25.043025,0 days 00:19:54.786496,6,True,True,False,False,False,,,,0.41000000000000003,111,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,111.0,,COMPLETE
139,139,0.8119999766349792,2024-07-29 05:52:25.052839,2024-07-29 06:13:44.969319,0 days 00:21:19.916480,6,True,True,False,False,True,,,,0.4,102,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,111.0,,COMPLETE
140,140,0.23340000212192535,2024-07-29 06:13:44.984871,2024-07-29 06:28:30.301057,0 days 00:14:45.316186,6,False,True,False,False,True,False,,,0.38,128,7.0,6.0,7.0,5.0,5.0,,,5.0,7.0,9.0,9.0,9.0,,,3,False,False,False,False,True,False,,,6,2,97.0,,COMPLETE
141,141,0.8098000288009644,2024-07-29 06:28:30.322444,2024-07-29 06:41:07.287011,0 days 00:12:36.964567,7,True,True,False,False,True,False,,,0.34,104,7.0,6.0,7.0,5.0,5.0,,,5.0,7.0,9.0,9.0,9.0,,,3,False,False,False,True,True,False,,,6,2,82.0,,COMPLETE
142,142,0.805400013923645,2024-07-29 06:41:07.304201,2024-07-29 06:57:32.242682,0 days 00:16:24.938481,7,True,True,False,False,True,,,,0.34,105,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,78.0,,COMPLETE
143,143,0.810699999332428,2024-07-29 06:43:41.771481,2024-07-29 07:05:13.896110,0 days 00:21:32.124629,7,True,True,False,False,True,,,,0.34,102,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,80.0,,COMPLETE
144,144,0.8185999989509583,2024-07-29 06:57:32.256015,2024-07-29 07:15:32.663473,0 days 00:18:00.407458,7,True,True,False,False,True,,,,0.35000000000000003,100,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,96.0,,COMPLETE
145,145,0.8094000220298767,2024-07-29 07:05:13.911918,2024-07-29 07:25:33.179235,0 days 00:20:19.267317,7,True,True,False,False,True,,,,0.39,79,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,99.0,,COMPLETE
146,146,0.7997000217437744,2024-07-29 07:15:32.677067,2024-07-29 07:31:13.966365,0 days 00:15:41.289298,7,True,True,False,False,True,,,,0.01,116,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,97.0,,COMPLETE
147,147,0.804099977016449,2024-07-29 07:25:33.186241,2024-07-29 07:36:33.288171,0 days 00:11:00.101930,7,True,True,True,False,True,,,,0.03,113,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,117.0,,COMPLETE
148,148,0.14409999549388885,2024-07-29 07:31:13.987299,2024-07-29 07:35:38.741866,0 days 00:04:24.754567,7,True,True,True,False,,,,,0.36,95,7.0,6.0,7.0,,,,,5.0,3.0,9.0,,,,,3,True,False,False,True,,,,,4,2,116.0,,COMPLETE
149,149,0.810699999332428,2024-07-29 07:35:38.751867,2024-07-29 07:50:17.238266,0 days 00:14:38.486399,5,True,False,False,False,True,,,,0.38,78,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,True,True,True,,,,5,2,114.0,,COMPLETE
150,150,0.8080999851226807,2024-07-29 07:36:33.297601,2024-07-29 07:48:00.952813,0 days 00:11:27.655212,5,True,False,False,False,True,,,,0.44,78,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,True,True,True,,,,5,2,97.0,,COMPLETE
151,151,0.8288999795913696,2024-07-29 07:48:00.968986,2024-07-29 08:05:47.692278,0 days 00:17:46.723292,6,True,True,False,False,True,,,,0.37,88,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,114.0,,COMPLETE
152,152,0.8019000291824341,2024-07-29 07:50:17.260005,2024-07-29 08:09:53.478702,0 days 00:19:36.218697,6,True,True,False,False,True,,,,0.35000000000000003,100,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,79.0,,COMPLETE
153,153,0.8235999941825867,2024-07-29 08:05:47.692278,2024-07-29 08:27:51.181318,0 days 00:22:03.489040,6,True,True,False,False,True,,,,0.35000000000000003,88,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,98.0,,COMPLETE
154,154,0.8248999714851379,2024-07-29 08:09:53.486701,2024-07-29 08:30:12.781539,0 days 00:20:19.294838,6,True,True,False,False,True,,,,0.36,87,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,101.0,,COMPLETE
155,155,0.8093000054359436,2024-07-29 08:27:51.197051,2024-07-29 08:49:49.933176,0 days 00:21:58.736125,6,True,True,False,False,True,,,,0.37,89,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,98.0,,COMPLETE
156,156,0.829800009727478,2024-07-29 08:30:12.800409,2024-07-29 08:47:44.769199,0 days 00:17:31.968790,6,True,True,False,False,True,,,,0.37,90,7.0,6.0,7.0,5.0,,,,5.0,7.0,9.0,9.0,,,,3,False,False,False,True,True,,,,5,2,98.0,,COMPLETE
