,ID,testfold,validationfold,exp_mean_loss,loss,accuracy,time
0,IR1,1,1,0.814144996,0.7258366346359253,0.7989000082015991,494.70972418785095
1,IR1,2,1,0.814144996,0.7109342813491821,0.7985000014305115,490.78866505622864
2,IR1,3,1,0.814144996,0.6698281168937683,0.8019999861717224,435.5818212032318
3,IR1,4,1,0.814144996,0.6884552240371704,0.807699978351593,490.24479937553406
4,IR1,5,1,0.814144996,0.6729950904846191,0.8011999726295471,408.25335335731506
5,IR1,1,2,0.814144996,0.7041673064231873,0.8051999807357788,516.8581218719482
6,IR1,2,2,0.814144996,0.7289351224899292,0.7907000184059143,436.3035554885864
7,IR1,3,2,0.814144996,0.6588255167007446,0.8057000041007996,436.33572340011597
8,IR1,4,2,0.814144996,0.6852868795394897,0.7993999719619751,463.63717699050903
9,IR1,5,2,0.814144996,0.6443909406661987,0.8033000230789185,382.2697718143463
10,IR1,1,3,0.814144996,0.6988077759742737,0.7857000231742859,409.66506481170654
11,IR1,2,3,0.814144996,0.6708053350448608,0.7994999885559082,409.2877631187439
12,IR1,3,3,0.814144996,0.6824967265129089,0.8034999966621399,491.34767985343933
13,IR1,4,3,0.814144996,0.7148941159248352,0.8051999807357788,517.9788026809692
14,IR1,5,3,0.814144996,0.6857563853263855,0.7946000099182129,435.54669737815857
15,IR1,1,4,0.814144996,0.6595845818519592,0.8015999794006348,410.05853939056396
16,IR1,2,4,0.814144996,0.6384233236312866,0.8051000237464905,437.1366424560547
17,IR1,3,4,0.814144996,0.6650636196136475,0.8104000091552734,464.4291687011719
18,IR1,4,4,0.814144996,0.6791755557060242,0.8083000183105469,490.97196340560913
19,IR1,5,4,0.814144996,0.668560802936554,0.8034999966621399,436.8059105873108
20,IR1,1,5,0.814144996,0.6668730974197388,0.7900000214576721,354.969607591629
21,IR1,2,5,0.814144996,0.7189139723777771,0.7954999804496765,464.09292340278625
22,IR1,3,5,0.814144996,0.6928904056549072,0.8026999831199646,463.61161947250366
23,IR1,4,5,0.814144996,0.713937520980835,0.7972000241279602,491.698210477829
24,IR1,5,5,0.814144996,0.6898900270462036,0.7936000227928162,409.6625728607178
25,IR1,1,6,0.814144996,0.6866621971130371,0.8008000254631042,436.70663261413574
26,IR1,2,6,0.814144996,0.7006009817123413,0.7954999804496765,437.58993911743164
27,IR1,3,6,0.814144996,0.6945270895957947,0.8033999800682068,435.95618724823
28,IR1,4,6,0.814144996,0.6625382900238037,0.805400013923645,436.57983446121216
29,IR1,5,6,0.814144996,0.7002832293510437,0.7954000234603882,436.2558841705322
30,IR2,1,1,0.787989998,0.9466402530670166,0.7785999774932861,205.86654806137085
31,IR2,2,1,0.787989998,0.8691594004631042,0.7814000248908997,173.91624927520752
32,IR2,3,1,0.787989998,0.9551658034324646,0.7723000049591064,182.14037990570068
33,IR2,4,1,0.787989998,0.9296754598617554,0.7774999737739563,173.8487253189087
34,IR2,5,1,0.787989998,0.8671177625656128,0.7789999842643738,158.8182990550995
35,IR2,1,2,0.787989998,1.3932390213012695,0.6844000220298767,166.40747475624084
36,IR2,2,2,0.787989998,0.80830979347229,0.7854999899864197,151.45499396324158
37,IR2,3,2,0.787989998,0.8195940256118774,0.7971000075340271,181.32010650634766
38,IR2,4,2,0.787989998,0.9304446578025818,0.7814000248908997,166.52828288078308
39,IR2,5,2,0.787989998,0.9552506804466248,0.7556999921798706,173.95448184013367
40,IR2,1,3,0.787989998,0.9727513790130615,0.7677000164985657,181.2314112186432
41,IR2,2,3,0.787989998,0.9230366945266724,0.7847999930381775,188.73245930671692
42,IR2,3,3,0.787989998,0.7827957272529602,0.7832000255584717,151.31699109077454
43,IR2,4,3,0.787989998,0.8995818495750427,0.7825000286102295,181.07865619659424
44,IR2,5,3,0.787989998,0.9203484654426575,0.7713000178337097,159.0652072429657
45,IR2,1,4,0.787989998,0.8097142577171326,0.7638000249862671,121.69326996803284
46,IR2,2,4,0.787989998,0.969247579574585,0.7804999947547913,196.93868255615234
47,IR2,3,4,0.787989998,0.8519926071166992,0.771399974822998,144.03135871887207
48,IR2,4,4,0.787989998,0.9870599508285522,0.7554000020027161,151.51731538772583
49,IR2,5,4,0.787989998,0.8644518852233887,0.7864999771118164,174.2533986568451
