,ID,fold,exp_mean_loss,loss,accuracy,time
0,OP1,1,0.635304987,0.6694520115852356,0.7990833520889282,4200.901250600815
1,OP1,2,0.635304987,0.7158685922622681,0.7806666493415833,3437.0937399864197
2,OP1,3,0.635304987,0.7578414678573608,0.7599999904632568,2615.4869298934937
3,OP1,4,0.635304987,0.6816568374633789,0.8011666536331177,4146.40913772583
4,OP1,5,0.635304987,0.6512309908866882,0.8049166798591614,4192.361440658569
5,OP2,1,0.642174363,0.6484085321426392,0.8200833201408386,2820.440388917923
6,OP2,2,0.642174363,0.6114770770072937,0.8299166560173035,3235.799574613571
7,OP2,3,0.642174363,0.71830153465271,0.7977499961853027,2778.140209197998
8,OP2,4,0.642174363,0.6391576528549194,0.815583348274231,32890.60954976082
9,OP2,5,0.642174363,0.6737037897109985,0.8096666932106018,2631.0026745796204
10,OP3,1,0.648374736,0.6987362504005432,0.7980833053588867,3082.9111773967743
11,OP3,2,0.648374736,0.6627889275550842,0.8002499938011169,3331.197808265686
12,OP3,3,0.648374736,0.7727714776992798,0.7770833373069763,3140.0381615161896
13,OP3,4,0.648374736,0.7137556672096252,0.7905833125114441,3090.9202542304993
14,OP3,5,0.648374736,0.8908624053001404,0.7528333067893982,3107.934600830078
15,OP4,1,0.649629056,0.8361960649490356,0.7745000123977661,3173.402037858963
16,OP4,2,0.649629056,0.693638265132904,0.7975000143051147,3021.902326107025
17,OP4,3,0.649629056,0.6780403256416321,0.8051666617393494,3316.4452142715454
18,OP4,4,0.649629056,0.685621976852417,0.812416672706604,4399.44663310051
19,OP4,5,0.649629056,0.7036697864532471,0.8037499785423279,3110.8636786937714
20,OP5,1,0.651017785,0.7578468322753906,0.7797499895095825,3162.2701394557953
21,OP5,2,0.651017785,0.6665428280830383,0.793833315372467,2925.4693789482117
22,OP5,3,0.651017785,0.7013735175132751,0.7902500033378601,3061.788603782654
23,OP5,4,0.651017785,0.6808508038520813,0.7822499871253967,2572.604837179184
24,OP5,5,0.651017785,0.6812015771865845,0.7961666584014893,3083.7135796546936
25,IR1,1,0.702836331,0.6871114373207092,0.7684999704360962,1675.7958562374115
26,IR1,2,0.702836331,0.6909680366516113,0.7634999752044678,1678.6464376449585
27,IR1,3,0.702836331,0.7152004241943359,0.7604166865348816,1658.2855415344238
28,IR1,4,0.702836331,0.7104677557945251,0.7646666765213013,1664.88272023201
29,IR1,5,0.702836331,0.7097091674804688,0.7615833282470703,1668.6690628528595
30,IR2,1,0.772257169,0.7595368027687073,0.7619166374206543,330.00725078582764
31,IR2,2,0.772257169,0.8522822260856628,0.7480000257492065,280.08617758750916
32,IR2,3,0.772257169,0.7834062576293945,0.7737500071525574,391.50609016418457
33,IR2,4,0.772257169,0.7934336066246033,0.7820000052452087,330.86564922332764
34,IR2,5,0.772257169,0.7735012173652649,0.7837499976158142,328.17187237739563
35,IR3,1,0.794891381,0.7695097923278809,0.7602499723434448,196.62985014915466
36,IR3,2,0.794891381,0.7813564538955688,0.7379166483879089,128.00356340408325
37,IR3,3,0.794891381,0.7444952726364136,0.753000020980835,181.6286551952362
38,IR3,4,0.794891381,0.8736002445220947,0.7012500166893005,182.28717064857483
39,IR3,5,0.794891381,0.7653476595878601,0.7450833320617676,22828.481009483337
40,IR5,1,0.824238571,0.8226491808891296,0.7252500057220459,181.52235865592957
41,IR5,2,0.824238571,0.8065060377120972,0.7315833568572998,217.8594479560852
42,IR5,3,0.824238571,0.819687008857727,0.7329999804496765,182.9439754486084
43,IR5,4,0.824238571,0.8424056172370911,0.7289166450500488,247.1694839000702
44,IR5,5,0.824238571,0.827107846736908,0.737500011920929,241.41873574256897
45,IR4,1,0.826182326,0.823310136795044,0.718999981880188,667.4927217960358
46,IR4,2,0.826182326,0.8606559038162231,0.7024999856948853,704.072470664978
47,IR4,3,0.826182326,0.8219042420387268,0.7225000262260437,717.7265138626099
48,IR4,4,0.826182326,0.8208014369010925,0.7172499895095825,710.8582448959351
49,IR4,5,0.826182326,0.8121428489685059,0.722000002861023,706.8755104541779
