,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
0,0,1.0577940940856934,2024-09-19 00:49:57.428644,2024-09-19 00:55:40.654349,0 days 00:05:43.225705,8,False,False,False,False,,,,,0.08,248,5.0,5.0,6.0,,,,,3.0,3.0,7.0,,,,,3,False,False,False,True,,,,,4,3,6.0,7.0,COMPLETE
1,1,1.2201327085494995,2024-09-19 00:49:57.432302,2024-09-19 01:03:21.064306,0 days 00:13:23.632004,10,False,True,True,,,,,,0.28,191,6.0,8.0,,,,,,9.0,5.0,,,,,,4,True,True,False,,,,,,3,3,106.0,4.0,COMPLETE
2,2,1.2939895391464233,2024-09-19 00:55:40.674948,2024-09-19 01:07:25.560469,0 days 00:11:44.885521,10,False,,,,,,,,0.41000000000000003,192,,,,,,,,,,,,,,,5,True,,,,,,,,1,3,59.0,78.0,COMPLETE
3,3,56.97793197631836,2024-09-19 01:03:21.072401,2024-09-19 01:13:43.673278,0 days 00:10:22.600877,5,True,False,True,True,False,True,False,,0.47000000000000003,281,7.0,5.0,7.0,7.0,6.0,5.0,,3.0,7.0,3.0,7.0,9.0,5.0,,0,False,False,True,True,False,True,True,,7,2,114.0,,COMPLETE
4,4,2.3692193031311035,2024-09-19 01:07:25.580500,2024-09-19 01:18:47.079746,0 days 00:11:21.499246,6,True,True,False,,,,,,0.3,131,5.0,8.0,,,,,,3.0,9.0,,,,,,1,False,False,True,,,,,,3,2,10.0,,COMPLETE
5,5,1.999151587486267,2024-09-19 01:13:43.691598,2024-09-19 01:18:00.422740,0 days 00:04:16.731142,10,False,True,False,,,,,,0.25,38,5.0,7.0,,,,,,7.0,9.0,,,,,,3,False,False,False,,,,,,3,2,31.0,,COMPLETE
6,6,2.3055953979492188,2024-09-19 01:18:00.441591,2024-09-19 01:19:59.913047,0 days 00:01:59.471456,6,False,True,True,True,True,True,True,False,0.08,113,7.0,6.0,5.0,6.0,7.0,6.0,6.0,3.0,3.0,9.0,7.0,11.0,7.0,11.0,2,False,True,False,False,True,True,False,False,8,2,4.0,,COMPLETE
7,7,1.0863794088363647,2024-09-19 01:18:47.079746,2024-09-19 01:20:24.026397,0 days 00:01:36.946651,6,False,True,True,,,,,,0.04,44,5.0,7.0,,,,,,11.0,5.0,,,,,,3,True,False,True,,,,,,3,1,,,COMPLETE
8,8,2.8396530151367188,2024-09-19 01:19:59.929911,2024-09-19 01:21:21.771126,0 days 00:01:21.841215,7,True,False,True,False,False,False,True,,0.07,193,7.0,5.0,8.0,7.0,6.0,8.0,,3.0,7.0,7.0,3.0,3.0,3.0,,0,True,True,True,False,True,,,,7,2,7.0,,COMPLETE
9,9,1.9337445497512817,2024-09-19 01:20:24.042238,2024-09-19 01:21:44.288466,0 days 00:01:20.246228,10,True,,,,,,,,0.37,115,,,,,,,,,,,,,,,2,False,,,,,,,,1,3,16.0,90.0,COMPLETE
10,10,2.2215542793273926,2024-09-19 01:21:21.780357,2024-09-19 01:27:51.960820,0 days 00:06:30.180463,7,False,True,,,,,,,0.47000000000000003,228,6.0,,,,,,,5.0,,,,,,,1,True,False,,,,,,,2,1,,,COMPLETE
11,11,0.8360580801963806,2024-09-19 01:21:44.307759,2024-09-19 02:24:31.531699,0 days 01:02:47.223940,8,False,False,False,False,True,,,,0.17,291,8.0,6.0,5.0,5.0,,,,5.0,3.0,7.0,5.0,,,,5,False,False,False,True,False,,,,5,1,,,COMPLETE
12,12,1.1237144470214844,2024-09-19 01:27:51.979136,2024-09-19 01:34:25.844962,0 days 00:06:33.865826,8,False,False,False,False,True,,,,0.0,25,5.0,6.0,5.0,5.0,,,,11.0,11.0,7.0,5.0,,,,3,True,False,False,True,False,,,,5,1,,,COMPLETE
13,13,1.502583384513855,2024-09-19 01:34:25.855471,2024-09-19 02:00:55.512945,0 days 00:26:29.657474,8,False,False,False,False,False,,,,0.15,275,8.0,7.0,6.0,8.0,,,,11.0,5.0,11.0,9.0,,,,4,False,False,True,True,False,,,,5,1,,,COMPLETE
14,14,1.1313660144805908,2024-09-19 02:00:55.530205,2024-09-19 02:56:49.518673,0 days 00:55:53.988468,4,False,False,True,False,,,,,0.17,71,5.0,6.0,7.0,,,,,11.0,3.0,5.0,,,,,4,True,False,False,True,,,,,4,3,4.0,6.0,COMPLETE
15,15,1.2343645095825195,2024-09-19 02:24:31.551525,2024-09-19 05:29:55.499484,0 days 03:05:23.947959,8,False,False,False,False,True,False,,,0.17,298,8.0,5.0,6.0,5.0,8.0,,,5.0,3.0,7.0,5.0,5.0,,,5,False,False,False,True,False,False,,,6,3,4.0,7.0,COMPLETE
16,16,0.7524125576019287,2024-09-19 02:56:49.528679,2024-09-19 05:08:42.475724,0 days 02:11:52.947045,8,False,False,False,False,True,False,,,0.16,250,8.0,5.0,6.0,5.0,8.0,,,5.0,3.0,7.0,5.0,5.0,,,5,False,False,False,True,False,False,,,6,3,21.0,14.0,COMPLETE
17,17,0.7226272821426392,2024-09-19 05:08:42.491579,2024-09-19 06:19:42.532123,0 days 01:11:00.040544,9,False,False,False,False,True,False,,,0.17,289,8.0,5.0,5.0,5.0,8.0,,,5.0,3.0,7.0,5.0,5.0,,,5,False,True,False,True,False,False,,,6,1,,,COMPLETE
18,18,0.8369856476783752,2024-09-19 05:29:55.501468,2024-09-19 06:33:16.061661,0 days 01:03:20.560193,9,False,False,False,False,True,False,,,0.22,238,8.0,6.0,5.0,5.0,8.0,,,5.0,3.0,7.0,11.0,5.0,,,5,False,True,False,True,False,False,,,6,1,,,COMPLETE
19,19,0.8627404570579529,2024-09-19 06:19:42.547796,2024-09-19 07:07:55.558384,0 days 00:48:13.010588,9,True,False,False,True,True,False,,,0.23,238,8.0,5.0,5.0,6.0,8.0,,,5.0,11.0,5.0,11.0,5.0,,,5,False,True,False,False,False,False,,,6,2,31.0,,COMPLETE
20,20,0.8203830122947693,2024-09-19 06:33:16.068669,2024-09-19 06:59:13.329290,0 days 00:25:57.260621,9,True,False,False,True,True,False,False,True,0.12,257,7.0,5.0,6.0,6.0,8.0,8.0,8.0,5.0,11.0,5.0,5.0,5.0,9.0,9.0,4,False,True,False,False,False,False,True,True,8,2,31.0,,COMPLETE
21,21,0.8369888663291931,2024-09-19 06:59:13.336515,2024-09-19 08:57:52.039410,0 days 01:58:38.702895,9,False,False,False,False,True,False,,,0.33,217,8.0,5.0,7.0,6.0,7.0,,,9.0,3.0,9.0,5.0,7.0,,,5,False,True,False,True,True,False,,,6,2,16.0,,COMPLETE
22,22,0.8382321000099182,2024-09-19 07:07:55.572255,2024-09-19 07:38:24.074184,0 days 00:30:28.501929,9,True,False,False,True,True,False,False,True,0.13,260,7.0,5.0,6.0,6.0,7.0,8.0,8.0,5.0,11.0,5.0,5.0,7.0,9.0,9.0,4,False,True,False,False,False,False,True,True,8,2,20.0,,COMPLETE
23,23,0.9006971716880798,2024-09-19 07:38:24.096532,2024-09-19 08:06:35.851057,0 days 00:28:11.754525,9,True,False,False,True,True,False,False,,0.12,210,8.0,5.0,7.0,5.0,8.0,7.0,,5.0,11.0,9.0,5.0,5.0,9.0,,4,False,True,False,False,False,False,True,,7,3,46.0,35.0,COMPLETE
24,24,1.316232681274414,2024-09-19 08:06:35.866972,2024-09-19 08:57:09.564301,0 days 00:50:33.697329,9,True,False,False,True,True,False,False,True,0.2,163,7.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,3.0,11.0,5.0,5.0,11.0,9.0,5,False,True,False,False,True,False,False,True,8,2,13.0,,COMPLETE
25,25,1.4657936096191406,2024-09-19 08:57:09.572980,2024-09-19 09:07:16.640695,0 days 00:10:07.067715,7,True,False,False,False,True,False,False,,0.33,263,6.0,6.0,6.0,5.0,5.0,8.0,,7.0,11.0,3.0,5.0,5.0,9.0,,4,False,True,False,True,False,False,True,,7,1,,,COMPLETE
26,26,1.089902400970459,2024-09-19 08:57:52.057590,2024-09-19 09:06:53.875621,0 days 00:09:01.818031,7,True,False,False,False,True,False,False,,0.12,267,6.0,6.0,6.0,5.0,5.0,8.0,,7.0,11.0,3.0,3.0,5.0,9.0,,4,False,True,False,False,False,False,True,,7,1,,,COMPLETE
