"","iteration","instance","configuration","time","bound"
"1",1,1,1,206.951674699783,NA
"2",1,1,2,261.737811088562,NA
"3",1,1,3,152.900798797607,NA
"4",1,1,4,254.564804792404,NA
"5",1,1,5,201.286083698273,NA
"6",1,1,6,270.310790061951,NA
"7",1,1,7,171.388076543808,NA
"8",1,1,8,302.524904489517,NA
"9",1,1,9,351.673313379288,NA
"10",1,1,10,609.518912553787,NA
"11",1,1,11,173.470224142075,NA
"12",1,1,12,115.756402015686,NA
"13",1,1,13,893.380350589752,NA
"14",1,1,14,70.1164875030518,NA
"15",1,1,15,196.757244825363,NA
"16",1,1,16,45.7049999237061,NA
"17",1,1,17,463.201197862625,NA
"18",1,1,18,1549.79804682732,NA
"19",1,2,1,207.555086612701,NA
"20",1,2,2,254.531271934509,NA
"21",1,2,3,166.86822104454,NA
"22",1,2,4,180.723474264145,NA
"23",1,2,5,240.040929555893,NA
"24",1,2,6,233.250589132309,NA
"25",1,2,7,176.549434900284,NA
"26",1,2,8,309.845109462738,NA
"27",1,2,9,215.272747039795,NA
"28",1,2,10,431.872781515121,NA
"29",1,2,11,120.080195426941,NA
"30",1,2,12,122.139080762863,NA
"31",1,2,13,865.813597917557,NA
"32",1,2,14,110.822773218155,NA
"33",1,2,15,189.942386865616,NA
"34",1,2,16,44.6078712940216,NA
"35",1,2,17,436.330882787704,NA
"36",1,2,18,816.837212085724,NA
"37",1,3,1,277.055239200592,NA
"38",1,3,2,260.855471372604,NA
"39",1,3,3,151.032344102859,NA
"40",1,3,4,162.802371501923,NA
"41",1,3,5,202.30136346817,NA
"42",1,3,6,282.235817670822,NA
"43",1,3,7,161.602911472321,NA
"44",1,3,8,313.388397693634,NA
"45",1,3,9,347.702584505081,NA
"46",1,3,10,335.998995780945,NA
"47",1,3,11,101.845006227493,NA
"48",1,3,12,88.9709815979004,NA
"49",1,3,13,879.023918390274,NA
"50",1,3,14,215.61443066597,NA
"51",1,3,15,155.048866033554,NA
"52",1,3,16,47.8202652931213,NA
"53",1,3,17,433.7416908741,NA
"54",1,3,18,610.969798088074,NA
"55",1,4,1,269.1870033741,NA
"56",1,4,2,267.025683879852,NA
"57",1,4,3,126.598728656769,NA
"58",1,4,4,149.99409365654,NA
"59",1,4,5,201.351281881332,NA
"60",1,4,6,205.759859800339,NA
"61",1,4,7,198.321010112762,NA
"62",1,4,8,312.918805837631,NA
"63",1,4,9,476.545422315598,NA
"64",1,4,10,245.413415670395,NA
"65",1,4,11,155.854994297028,NA
"66",1,4,12,127.396137237549,NA
"67",1,4,13,864.011053085327,NA
"68",1,4,14,125.742303609848,NA
"69",1,4,15,217.002257585526,NA
"70",1,4,16,36.1976926326752,NA
"71",1,4,17,202.206321954727,NA
"72",1,4,18,1040.02720475197,NA
"73",1,5,1,193.558412313461,NA
"74",1,5,2,258.218661546707,NA
"75",1,5,3,115.618768453598,NA
"76",1,5,4,191.472848653793,NA
"77",1,5,5,264.028820514679,NA
"78",1,5,6,223.004346370697,NA
"79",1,5,7,159.076470851898,NA
"80",1,5,8,296.403343200684,NA
"81",1,5,9,152.133341550827,NA
"82",1,5,10,254.422255754471,NA
"83",1,5,11,166.412835597992,NA
"84",1,5,12,75.1662750244141,NA
"85",1,5,13,900.282218933105,NA
"86",1,5,14,45.70525431633,NA
"87",1,5,15,147.715742826462,NA
"88",1,5,16,49.7297999858856,NA
"89",1,5,17,606.356156110764,NA
"90",1,5,18,733.652177095413,NA
"91",2,6,6,193.884327411652,NA
"92",2,6,19,27.4557285308838,NA
"93",2,6,20,2391.06664872169,NA
"94",2,6,21,338.129395723343,NA
"95",2,6,22,736.930591821671,NA
"96",2,6,23,365.47900056839,NA
"97",2,6,24,734.571266651154,NA
"98",2,6,25,143.766859769821,NA
"99",2,6,26,3219.36144542694,NA
"100",2,6,27,13.5209498405457,NA
"101",2,6,28,65.9945826530457,NA
"102",2,6,29,43.4646120071411,NA
"103",2,6,30,158.223755598068,NA
