,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
73,73,0.750729501247406,2024-06-28 12:20:12.647960,2024-06-28 12:27:01.812418,0 days 00:06:49.164458,8,True,True,False,False,True,,,,0.15472986637544245,56,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,38.0,,COMPLETE
74,74,2.3036293983459473,2024-06-28 12:24:17.601010,2024-06-28 12:33:57.578993,0 days 00:09:39.977983,7,True,True,False,False,,,,,0.15196702099092832,50,7.0,7.0,7.0,,,,,3.0,9.0,9.0,,,,,3,False,True,False,True,,,,,4,2,32.0,,COMPLETE
75,75,2.3048393726348877,2024-06-28 12:27:01.834359,2024-06-28 12:32:57.977390,0 days 00:05:56.143031,7,True,True,False,False,,,,,0.0595818605116234,93,7.0,8.0,7.0,,,,,3.0,9.0,9.0,,,,,3,False,True,False,True,,,,,4,2,31.0,,COMPLETE
76,76,0.69139564037323,2024-06-28 12:32:57.993217,2024-06-28 12:42:47.791795,0 days 00:09:49.798578,7,True,True,False,False,True,,,,0.0046675513727345574,21,8.0,7.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,4,False,True,False,True,True,,,,5,2,47.0,,COMPLETE
77,77,1.996212124824524,2024-06-28 12:33:57.587507,2024-06-28 13:08:37.670830,0 days 00:34:40.083323,4,True,True,False,False,True,,,,0.10519181418245177,20,8.0,8.0,6.0,5.0,,,,5.0,9.0,3.0,7.0,,,,2,False,True,False,False,True,,,,5,2,26.0,,COMPLETE
78,78,1.0329149961471558,2024-06-28 12:42:47.807680,2024-06-28 12:52:36.155149,0 days 00:09:48.347469,4,True,True,False,True,True,True,,,0.010566224241591694,23,8.0,8.0,6.0,5.0,5.0,,,3.0,9.0,9.0,5.0,9.0,,,5,True,True,False,False,True,True,,,6,1,,,COMPLETE
79,79,0.830278217792511,2024-06-28 12:52:36.155149,2024-06-28 13:10:46.851162,0 days 00:18:10.696013,4,True,True,False,True,True,,,,0.002153775113471465,19,8.0,8.0,6.0,7.0,,,,5.0,3.0,3.0,7.0,,,,4,False,False,False,True,True,,,,5,2,47.0,,COMPLETE
80,80,0.9157301783561707,2024-06-28 13:08:37.686080,2024-06-28 13:16:34.639348,0 days 00:07:56.953268,8,True,False,False,True,False,True,False,,0.0014076007673499242,39,8.0,6.0,6.0,7.0,5.0,6.0,,3.0,3.0,5.0,3.0,11.0,5.0,,4,False,False,False,True,True,True,False,,7,3,47.0,69.0,COMPLETE
81,81,0.8795090913772583,2024-06-28 13:10:46.869545,2024-06-28 13:27:56.963109,0 days 00:17:10.093564,4,True,False,False,True,False,True,False,,0.37921396907807436,41,8.0,6.0,5.0,6.0,5.0,6.0,,3.0,9.0,5.0,3.0,11.0,5.0,,4,False,True,False,True,True,True,,,7,3,91.0,73.0,COMPLETE
82,82,0.8615410923957825,2024-06-28 13:16:34.655357,2024-06-28 13:25:32.355823,0 days 00:08:57.700466,7,True,True,False,False,True,,,,0.04969449209897645,84,8.0,7.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,4,False,True,False,True,True,,,,5,2,63.0,,COMPLETE
83,83,0.7088359594345093,2024-06-28 13:25:32.369457,2024-06-28 13:33:22.986708,0 days 00:07:50.617251,7,True,True,False,False,True,,,,0.02203300686262296,42,8.0,7.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,27.0,,COMPLETE
84,84,0.9263430833816528,2024-06-28 13:27:56.978835,2024-06-28 13:35:16.323782,0 days 00:07:19.344947,7,True,True,False,False,True,,,,0.024436703772890235,122,7.0,7.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,28.0,,COMPLETE
85,85,0.8173815608024597,2024-06-28 13:33:23.005994,2024-06-28 13:43:53.207509,0 days 00:10:30.201515,7,True,True,False,False,True,True,,,0.03617809943213304,32,8.0,7.0,6.0,5.0,6.0,,,3.0,9.0,9.0,9.0,9.0,,,4,False,True,False,True,True,False,,,6,2,19.0,,COMPLETE
86,86,0.7793804407119751,2024-06-28 13:35:16.339606,2024-06-28 13:46:07.881013,0 days 00:10:51.541407,6,True,True,False,False,True,True,,,0.028267113269152433,34,8.0,7.0,6.0,5.0,6.0,,,3.0,9.0,9.0,5.0,9.0,,,4,False,True,False,True,True,False,,,6,2,19.0,,COMPLETE
87,87,0.8053314685821533,2024-06-28 13:43:53.223476,2024-06-28 13:54:55.285696,0 days 00:11:02.062220,6,True,True,False,False,True,True,,,0.02170554550960064,98,8.0,7.0,6.0,6.0,6.0,,,3.0,11.0,9.0,5.0,9.0,,,4,False,True,False,True,True,False,,,6,2,24.0,,COMPLETE
88,88,2.303701877593994,2024-06-28 13:46:07.900664,2024-06-28 13:54:00.359845,0 days 00:07:52.459181,8,True,True,False,False,,,,,0.3112743215875782,98,8.0,7.0,6.0,,,,,3.0,11.0,9.0,,,,,3,False,True,False,True,,,,,4,2,24.0,,COMPLETE
89,89,1.0071039199829102,2024-06-28 13:54:00.367323,2024-06-28 14:02:11.513014,0 days 00:08:11.145691,4,True,True,False,True,True,,,,0.019231563874926694,47,8.0,8.0,6.0,6.0,,,,3.0,9.0,9.0,7.0,,,,2,True,True,False,True,True,,,,5,1,,,COMPLETE
90,90,1.1486645936965942,2024-06-28 13:54:55.304700,2024-06-28 14:05:40.632388,0 days 00:10:45.327688,4,True,True,False,True,True,,,,0.08436645046897975,76,8.0,8.0,6.0,7.0,,,,9.0,9.0,9.0,11.0,,,,5,True,True,True,False,True,,,,5,1,,,COMPLETE
91,91,0.9840105175971985,2024-06-28 14:02:11.520773,2024-06-28 14:28:10.475658,0 days 00:25:58.954885,4,True,True,False,True,True,,,,0.19615354178666713,119,8.0,8.0,6.0,7.0,,,,9.0,3.0,9.0,11.0,,,,5,False,True,True,False,True,,,,5,1,,,COMPLETE
92,92,0.80193692445755,2024-06-28 14:05:40.639597,2024-06-28 14:12:13.507895,0 days 00:06:32.868298,7,True,True,False,False,True,,,,0.06406316208717248,60,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,39.0,,COMPLETE
93,93,0.7581267952919006,2024-06-28 14:12:13.523755,2024-06-28 14:20:31.036359,0 days 00:08:17.512604,7,True,True,False,False,True,,,,0.0801081129251074,119,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,14.0,,COMPLETE
94,94,0.9068115949630737,2024-06-28 14:20:31.055663,2024-06-28 14:31:06.971233,0 days 00:10:35.915570,7,True,True,False,False,True,,,,0.35952804007319905,86,8.0,7.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,31.0,,COMPLETE
95,95,2.3034098148345947,2024-06-28 14:28:10.475658,2024-06-28 14:37:40.651762,0 days 00:09:30.176104,7,True,True,False,False,,,,,0.40567339844115946,108,7.0,7.0,7.0,,,,,3.0,9.0,9.0,,,,,3,False,True,False,True,,,,,4,2,32.0,,COMPLETE
96,96,2.30440092086792,2024-06-28 14:31:06.990746,2024-06-28 14:43:34.083653,0 days 00:12:27.092907,7,True,True,False,False,,,,,0.23360308354690104,251,7.0,7.0,7.0,,,,,7.0,5.0,5.0,,,,,3,False,True,False,True,,,,,4,2,36.0,,COMPLETE
97,97,0.6515436768531799,2024-06-28 14:37:40.674705,2024-06-28 14:42:26.082547,0 days 00:04:45.407842,8,True,True,False,False,False,True,,,0.2358652232365177,72,6.0,7.0,7.0,5.0,5.0,,,7.0,5.0,5.0,7.0,3.0,,,3,False,True,False,True,True,True,,,6,2,54.0,,COMPLETE
98,98,0.7722797989845276,2024-06-28 14:42:26.098177,2024-06-28 15:00:14.564644,0 days 00:17:48.466467,9,False,True,False,False,False,True,,,0.21318611763485876,64,6.0,7.0,6.0,5.0,5.0,,,7.0,5.0,5.0,7.0,3.0,,,3,False,False,False,True,False,True,,,6,2,55.0,,COMPLETE
99,99,0.8241076469421387,2024-06-28 14:43:34.098667,2024-06-28 15:16:08.095508,0 days 00:32:33.996841,8,False,True,False,False,False,True,,,0.2581040429839155,67,6.0,8.0,6.0,5.0,5.0,,,7.0,5.0,5.0,7.0,3.0,,,4,False,False,False,True,False,True,,,6,2,61.0,,COMPLETE
100,100,0.8975250720977783,2024-06-28 15:00:14.580502,2024-06-28 15:13:59.442027,0 days 00:13:44.861525,8,True,True,True,True,False,True,,,0.2959864935894529,132,6.0,8.0,5.0,5.0,5.0,,,7.0,7.0,5.0,7.0,3.0,,,4,False,True,False,True,True,True,,,6,2,63.0,,COMPLETE
101,101,1.0963077545166016,2024-06-28 15:13:59.459424,2024-06-28 15:21:18.893502,0 days 00:07:19.434078,9,False,True,False,False,False,True,True,True,0.2620596840751907,73,6.0,8.0,6.0,5.0,5.0,5.0,8.0,7.0,5.0,5.0,5.0,3.0,7.0,5.0,4,False,True,False,True,False,True,True,,8,2,43.0,,COMPLETE
102,102,0.8222058415412903,2024-06-28 15:16:08.111232,2024-06-28 15:24:58.987592,0 days 00:08:50.876360,9,True,True,False,False,False,True,True,True,0.3431581714570063,74,6.0,7.0,7.0,5.0,5.0,5.0,8.0,7.0,5.0,11.0,7.0,11.0,7.0,3.0,3,False,True,False,True,True,True,,,8,2,49.0,,COMPLETE
103,103,0.8346691131591797,2024-06-28 15:21:18.909513,2024-06-28 15:29:12.535973,0 days 00:07:53.626460,8,True,True,False,False,True,True,False,,0.05269258889979358,49,7.0,7.0,7.0,5.0,5.0,7.0,,3.0,9.0,11.0,7.0,11.0,11.0,,3,False,True,False,True,True,True,,,7,2,50.0,,COMPLETE
104,104,0.7629875540733337,2024-06-28 15:24:59.003511,2024-06-28 15:33:01.466069,0 days 00:08:02.462558,8,True,True,False,False,True,,,,0.24002897095941306,50,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,28.0,,COMPLETE
105,105,0.7838635444641113,2024-06-28 15:29:12.553211,2024-06-28 16:08:47.736306,0 days 00:39:35.183095,4,True,True,False,False,True,True,,,0.2782715847343999,26,7.0,7.0,7.0,5.0,7.0,,,11.0,3.0,9.0,7.0,7.0,,,3,False,True,False,True,True,False,,,6,2,37.0,,COMPLETE
106,106,1.9046119451522827,2024-06-28 15:33:01.478972,2024-06-28 15:57:33.665657,0 days 00:24:32.186685,6,True,True,False,False,True,True,,,0.18420697892173504,90,8.0,7.0,7.0,7.0,7.0,,,11.0,3.0,7.0,7.0,7.0,,,2,False,True,False,True,True,False,,,6,2,39.0,,COMPLETE
107,107,0.7598903179168701,2024-06-28 15:57:33.685702,2024-06-28 16:11:03.190311,0 days 00:13:29.504609,5,True,True,False,True,False,False,,,0.2800996295957935,164,8.0,5.0,7.0,5.0,5.0,,,3.0,9.0,9.0,3.0,9.0,,,3,False,True,False,True,True,True,,,6,2,77.0,,COMPLETE
108,108,0.8768334984779358,2024-06-28 16:08:47.752435,2024-06-28 16:17:28.444763,0 days 00:08:40.692328,5,True,True,False,True,False,,,,0.03627651849572904,80,8.0,5.0,6.0,5.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,True,True,,,,5,2,73.0,,COMPLETE
109,109,0.6877895593643188,2024-06-28 16:11:03.206302,2024-06-28 16:23:57.555296,0 days 00:12:54.348994,7,True,True,False,True,True,,,,0.10168679757754068,59,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,42.0,,COMPLETE
110,110,0.8304983377456665,2024-06-28 16:17:28.462368,2024-06-28 17:08:40.676276,0 days 00:51:12.213908,4,True,False,False,False,True,True,False,,0.3841150445807488,56,7.0,6.0,6.0,7.0,6.0,8.0,,5.0,9.0,9.0,5.0,9.0,5.0,,4,False,True,False,False,False,True,True,,7,3,44.0,10.0,COMPLETE
111,111,0.994150698184967,2024-06-28 16:23:57.571230,2024-06-28 16:52:50.581416,0 days 00:28:53.010186,4,True,False,False,True,True,True,False,,0.4341685938247125,14,8.0,6.0,6.0,7.0,6.0,8.0,,9.0,9.0,5.0,9.0,9.0,5.0,,4,False,True,False,False,False,True,True,,7,3,44.0,8.0,COMPLETE
112,112,0.7385088801383972,2024-06-28 16:52:50.597246,2024-06-28 17:04:46.677452,0 days 00:11:56.080206,7,True,True,False,True,True,,,,0.06864692404678968,53,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,52.0,,COMPLETE
113,113,0.7501022815704346,2024-06-28 17:04:46.698565,2024-06-28 17:21:22.646875,0 days 00:16:35.948310,7,True,True,False,True,True,,,,0.05124823773659874,61,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,52.0,,COMPLETE
114,114,0.7107747793197632,2024-06-28 17:08:40.676276,2024-06-28 17:24:58.865919,0 days 00:16:18.189643,7,True,True,False,True,True,,,,0.0761905062803635,44,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,53.0,,COMPLETE
115,115,0.7970287203788757,2024-06-28 17:21:22.668158,2024-06-28 17:44:22.509558,0 days 00:22:59.841400,7,True,True,False,True,True,,,,0.07166353356604988,43,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,35.0,,COMPLETE
116,116,0.7532668709754944,2024-06-28 17:24:58.882041,2024-06-28 17:46:04.465969,0 days 00:21:05.583928,7,True,True,False,True,True,,,,0.09515626512702446,42,8.0,6.0,6.0,7.0,,,,3.0,9.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,33.0,,COMPLETE
117,117,4.4307732582092285,2024-06-28 17:44:22.525511,2024-06-28 17:48:29.661103,0 days 00:04:07.135592,10,False,True,True,True,True,,,,0.3335249943762739,35,8.0,6.0,6.0,7.0,,,,3.0,3.0,5.0,9.0,,,,3,False,True,False,False,True,,,,5,2,58.0,,COMPLETE
118,118,2.0216147899627686,2024-06-28 17:46:04.481495,2024-06-28 18:08:30.250875,0 days 00:22:25.769380,6,False,True,True,True,False,True,,,0.010976508030973442,112,8.0,6.0,6.0,8.0,5.0,,,3.0,3.0,5.0,9.0,3.0,,,2,False,False,False,False,True,False,,,6,2,30.0,,COMPLETE
119,119,1.181007981300354,2024-06-28 17:48:29.671112,2024-06-28 18:32:46.443746,0 days 00:44:16.772634,6,True,True,False,True,False,True,,,0.01568617822917401,145,8.0,6.0,6.0,8.0,5.0,,,7.0,7.0,3.0,3.0,3.0,,,2,False,False,False,False,False,False,,,6,1,,,COMPLETE
120,120,0.8234776258468628,2024-06-28 18:08:30.266985,2024-06-28 18:37:01.776132,0 days 00:28:31.509147,8,True,True,False,True,True,True,,,0.36911419038871335,102,8.0,8.0,6.0,7.0,5.0,,,7.0,7.0,3.0,3.0,5.0,,,4,False,True,False,False,False,True,,,6,1,,,COMPLETE
121,121,0.7341814637184143,2024-06-28 18:32:46.443746,2024-06-28 18:36:57.829418,0 days 00:04:11.385672,7,True,True,False,True,,,,,0.3696379112668471,83,8.0,8.0,6.0,,,,,3.0,5.0,5.0,,,,,4,True,True,False,False,,,,,4,2,25.0,,COMPLETE
122,122,0.79537433385849,2024-06-28 18:36:57.860748,2024-06-28 18:40:54.834222,0 days 00:03:56.973474,7,True,True,False,True,,,,,0.34952116387655274,82,8.0,8.0,6.0,,,,,3.0,5.0,5.0,,,,,4,True,True,False,False,,,,,4,2,27.0,,COMPLETE
123,123,0.8613313436508179,2024-06-28 18:37:01.779334,2024-06-28 18:41:48.671467,0 days 00:04:46.892133,7,True,True,False,True,,,,,0.36033301302359244,83,8.0,8.0,6.0,,,,,3.0,5.0,5.0,,,,,4,True,True,False,False,,,,,4,2,25.0,,COMPLETE
124,124,0.7430934309959412,2024-06-28 18:40:54.852709,2024-06-28 18:44:51.841178,0 days 00:03:56.988469,7,True,True,False,True,,,,,0.39498484805322953,69,8.0,8.0,6.0,,,,,3.0,5.0,5.0,,,,,4,True,True,False,False,,,,,4,2,25.0,,COMPLETE
125,125,0.8495520353317261,2024-06-28 18:41:48.688459,2024-06-28 18:46:10.213323,0 days 00:04:21.524864,7,True,True,False,True,,,,,0.3047588787687625,69,8.0,8.0,6.0,,,,,3.0,5.0,5.0,,,,,4,True,True,False,False,,,,,4,2,21.0,,COMPLETE
126,126,0.8066596388816833,2024-06-28 18:44:51.872840,2024-06-28 18:47:32.242460,0 days 00:02:40.369620,7,True,True,False,,,,,,0.07931597838455277,94,8.0,8.0,,,,,,3.0,5.0,,,,,,4,True,True,False,,,,,,3,2,41.0,,COMPLETE
127,127,1.0431019067764282,2024-06-28 18:46:10.213323,2024-06-28 19:01:26.967303,0 days 00:15:16.753980,4,True,True,False,True,True,,,,0.4168108046576701,89,8.0,8.0,8.0,6.0,,,,9.0,9.0,5.0,5.0,,,,3,True,True,True,False,True,,,,5,2,18.0,,COMPLETE
128,128,0.824978232383728,2024-06-28 18:47:32.258402,2024-06-28 19:19:56.379536,0 days 00:32:24.121134,4,True,True,False,True,True,,,,0.21080868168351358,25,8.0,8.0,8.0,6.0,,,,9.0,9.0,5.0,5.0,,,,3,False,True,True,False,True,,,,5,2,68.0,,COMPLETE
129,129,0.6421743631362915,2024-06-28 19:01:26.983448,2024-06-28 19:32:10.941055,0 days 00:30:43.957607,4,True,True,False,True,True,,,,0.12865527167873725,28,8.0,8.0,6.0,7.0,,,,3.0,9.0,5.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
130,130,0.9979760646820068,2024-06-28 19:19:56.395561,2024-06-28 19:43:24.350782,0 days 00:23:27.955221,8,False,True,False,True,True,,,,0.05815023582108434,184,8.0,8.0,6.0,7.0,,,,3.0,11.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,48.0,,COMPLETE
131,131,0.6496290564537048,2024-06-28 19:32:10.956974,2024-06-28 20:07:39.146554,0 days 00:35:28.189580,4,False,True,False,True,True,,,,0.10473680762026344,29,8.0,8.0,6.0,7.0,,,,3.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
132,132,0.7021448016166687,2024-06-28 19:43:24.350782,2024-06-28 20:43:00.426571,0 days 00:59:36.075789,4,True,True,False,True,True,,,,0.14286868495200156,36,8.0,8.0,6.0,7.0,,,,3.0,9.0,5.0,7.0,,,,3,False,True,False,True,True,,,,5,2,15.0,,COMPLETE
133,133,0.6633137464523315,2024-06-28 20:07:39.162859,2024-06-28 20:43:00.348688,0 days 00:35:21.185829,4,False,True,False,True,True,,,,0.13733439374067813,18,8.0,8.0,6.0,7.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,47.0,,COMPLETE
134,134,0.6871953010559082,2024-06-28 20:43:00.363977,2024-06-28 21:13:14.428205,0 days 00:30:14.064228,4,False,True,False,True,True,,,,0.13033495075856832,17,8.0,8.0,6.0,7.0,,,,3.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,55.0,,COMPLETE
135,135,0.6797931790351868,2024-06-28 20:43:00.442183,2024-06-28 21:16:57.203677,0 days 00:33:56.761494,4,False,True,False,True,True,,,,0.1334750071876739,31,8.0,8.0,6.0,7.0,,,,3.0,9.0,5.0,7.0,,,,3,False,True,False,True,True,,,,5,2,54.0,,COMPLETE
136,136,0.7815043926239014,2024-06-28 21:13:14.433043,2024-06-28 21:46:51.853949,0 days 00:33:37.420906,4,False,True,False,True,True,,,,0.13930506921440336,17,8.0,8.0,6.0,7.0,,,,3.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,14.0,,COMPLETE
137,137,0.8293383717536926,2024-06-28 21:16:57.219673,2024-06-28 21:46:51.447365,0 days 00:29:54.227692,4,False,True,False,True,True,,,,0.12404955649563285,15,8.0,8.0,6.0,7.0,,,,3.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,16.0,,COMPLETE
138,138,1.3601688146591187,2024-06-28 21:46:51.447365,2024-06-28 21:48:03.878733,0 days 00:01:12.431368,4,False,,,,,,,,0.1380892108061164,29,,,,,,,,,,,,,,,3,False,,,,,,,,1,2,60.0,,COMPLETE
139,139,1.3004615306854248,2024-06-28 21:46:51.875756,2024-06-28 21:47:50.695992,0 days 00:00:58.820236,4,False,,,,,,,,0.14555378080839826,29,,,,,,,,,,,,,,,3,False,,,,,,,,1,2,60.0,,COMPLETE
140,140,0.6567736864089966,2024-06-28 21:47:50.713197,2024-06-28 22:26:55.493263,0 days 00:39:04.780066,4,False,True,False,True,True,,,,0.15954453647535768,22,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,47.0,,COMPLETE
141,141,0.7508875727653503,2024-06-28 21:48:03.894436,2024-06-28 22:27:17.831989,0 days 00:39:13.937553,4,False,True,False,True,True,,,,0.16030731983074092,23,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,45.0,,COMPLETE
142,142,0.7254318594932556,2024-06-28 22:26:55.504008,2024-06-28 23:14:37.841192,0 days 00:47:42.337184,4,False,True,False,True,True,,,,0.16221088625730065,37,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,46.0,,COMPLETE
143,143,0.7809020280838013,2024-06-28 22:27:17.847878,2024-06-28 23:09:03.110025,0 days 00:41:45.262147,4,False,True,False,True,True,,,,0.12889136402601542,20,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,65.0,,COMPLETE
144,144,0.6847929954528809,2024-06-28 23:09:03.126865,2024-06-28 23:30:54.590521,0 days 00:21:51.463656,4,False,True,False,True,True,,,,0.17071136827509203,10,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,47.0,,COMPLETE
145,145,0.6888001561164856,2024-06-28 23:14:37.850127,2024-06-28 23:50:44.747705,0 days 00:36:06.897578,4,False,True,False,True,True,,,,0.12139949831715421,33,8.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,55.0,,COMPLETE
146,146,0.6866059303283691,2024-06-28 23:30:54.606473,2024-06-28 23:40:49.743919,0 days 00:09:55.137446,4,False,True,False,True,True,,,,0.18155213841705903,10,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,54.0,,COMPLETE
147,147,0.7826067209243774,2024-06-28 23:40:49.754764,2024-06-28 23:52:29.058630,0 days 00:11:39.303866,4,False,True,False,True,True,,,,0.1752141607765192,12,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,56.0,,COMPLETE
148,148,0.7340525388717651,2024-06-28 23:50:44.765137,2024-06-28 23:59:40.024418,0 days 00:08:55.259281,4,False,True,False,True,True,,,,0.17714585880988187,10,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,54.0,,COMPLETE
149,149,0.6822481751441956,2024-06-28 23:52:29.074650,2024-06-29 00:09:39.715091,0 days 00:17:10.640441,4,False,True,False,True,True,,,,0.10518120427160177,18,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,50.0,,COMPLETE
150,150,2.3311636447906494,2024-06-28 23:59:40.036111,2024-06-29 00:12:13.537384,0 days 00:12:33.501273,4,False,True,False,True,False,,,,0.10461501193618727,22,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,False,False,True,True,,,,5,2,87.0,,COMPLETE
151,151,2.327549457550049,2024-06-29 00:09:39.730693,2024-06-29 00:35:07.262223,0 days 00:25:27.531530,4,False,True,False,True,False,,,,0.10486476758991442,17,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,False,False,True,True,,,,5,2,108.0,,COMPLETE
152,152,0.7391818761825562,2024-06-29 00:12:13.553308,2024-06-29 00:31:01.741876,0 days 00:18:48.188568,4,False,True,False,True,True,,,,0.11650717442064448,18,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,50.0,,COMPLETE
153,153,0.6658066511154175,2024-06-29 00:31:01.763931,2024-06-29 00:48:31.455992,0 days 00:17:29.692061,4,False,True,False,True,True,,,,0.15188035330604915,27,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,48.0,,COMPLETE
154,154,0.7167026996612549,2024-06-29 00:35:07.277996,2024-06-29 00:50:14.646709,0 days 00:15:07.368713,4,False,True,False,True,True,,,,0.1255859077927951,29,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,49.0,,COMPLETE
155,155,0.8004148006439209,2024-06-29 00:48:31.474433,2024-06-29 01:02:46.519430,0 days 00:14:15.044997,4,False,True,False,True,True,,,,0.15038552098970986,29,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,48.0,,COMPLETE
156,156,0.7091975212097168,2024-06-29 00:50:14.667039,2024-06-29 01:01:52.207814,0 days 00:11:37.540775,4,False,True,False,True,True,,,,0.1489131494163024,25,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,67.0,,COMPLETE
157,157,0.7818291783332825,2024-06-29 01:01:52.215634,2024-06-29 01:16:02.477139,0 days 00:14:10.261505,4,False,True,False,True,True,,,,0.1681810704493277,30,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,41.0,,COMPLETE
158,158,0.7591133117675781,2024-06-29 01:02:46.535274,2024-06-29 01:11:42.928759,0 days 00:08:56.393485,4,False,True,False,True,True,,,,0.13271736662274078,10,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,2,40.0,,COMPLETE
159,159,0.887017011642456,2024-06-29 01:11:42.944880,2024-06-29 01:21:21.231566,0 days 00:09:38.286686,4,False,True,False,True,True,,,,0.09592862817536096,19,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,1,,,COMPLETE
160,160,0.8548936247825623,2024-06-29 01:16:02.492742,2024-06-29 01:25:52.981997,0 days 00:09:50.489255,4,False,False,False,True,True,,,,0.18972242022127075,21,5.0,8.0,6.0,7.0,,,,5.0,9.0,7.0,7.0,,,,3,False,True,False,True,True,,,,5,1,,,COMPLETE
