"","iteration","instance","configuration","time","bound"
"1",1,1,1,402.262897968292,NA
"2",1,1,2,55.4248878955841,NA
"3",1,1,3,415.928091526031,NA
"4",1,1,4,62.3512196540833,NA
"5",1,1,5,696.183879137039,NA
"6",1,1,6,69.3599996566772,NA
"7",1,1,7,133.649289131165,NA
"8",1,1,8,124.587468862534,NA
"9",1,1,9,481.157142877579,NA
"10",1,1,10,188.570497989655,NA
"11",1,1,11,175.252886772156,NA
"12",1,1,12,400.093718767166,NA
"13",1,1,13,72.3815264701843,NA
"14",1,1,14,22.414754152298,NA
"15",1,1,15,53.4655044078827,NA
"16",1,1,16,124.695905923843,NA
"17",1,1,17,265.538571596146,NA
"18",1,1,18,15.3615109920502,NA
"19",1,1,19,27.0772061347961,NA
"20",1,2,1,409.880081653595,NA
"21",1,2,2,56.8820071220398,NA
"22",1,2,3,486.536105394363,NA
"23",1,2,4,150.382377147675,NA
"24",1,2,5,823.906494140625,NA
"25",1,2,6,119.766147613525,NA
"26",1,2,7,80.7037827968597,NA
"27",1,2,8,102.376662492752,NA
"28",1,2,9,586.78028345108,NA
"29",1,2,10,200.075771808624,NA
"30",1,2,11,294.625393152237,NA
"31",1,2,12,384.117203474045,NA
"32",1,2,13,85.502140045166,NA
"33",1,2,14,37.2109365463257,NA
"34",1,2,15,45.8679628372192,NA
"35",1,2,16,108.188051223755,NA
"36",1,2,17,237.474427223206,NA
"37",1,2,18,24.7516944408417,NA
"38",1,2,19,24.1698930263519,NA
"39",2,3,5,663.116986513138,NA
"40",2,3,17,369.023171663284,NA
"41",2,3,16,188.321906805038,NA
"42",2,3,8,157.453571081161,NA
"43",2,3,1,467.902590513229,NA
"44",2,3,20,174.018478870392,NA
"45",2,3,21,539.704999446869,NA
"46",2,3,22,85.7966947555542,NA
"47",2,3,23,380.342028141022,NA
"48",2,3,24,259.719814062119,NA
"49",2,3,25,183.378640651703,NA
"50",2,3,26,57.1330528259277,NA
"51",2,3,27,86.0285902023315,NA
"52",2,3,28,114.661300420761,NA
"53",2,3,29,45.0566804409027,NA
"54",2,3,30,82.013151884079,NA
"55",2,3,31,207.840756177902,NA
"56",2,3,32,154.71017575264,NA
"57",2,3,33,41.7612333297729,NA
"58",2,1,20,289.114853382111,NA
"59",2,1,21,452.998938322067,NA
"60",2,1,22,52.7928793430328,NA
"61",2,1,23,487.349725008011,NA
"62",2,1,24,291.633161067963,NA
"63",2,1,25,182.503401041031,NA
"64",2,1,26,70.3063478469849,NA
"65",2,1,27,95.9580421447754,NA
"66",2,1,28,75.6625127792358,NA
"67",2,1,29,39.3089241981506,NA
"68",2,1,30,110.568489789963,NA
"69",2,1,31,336.886006116867,NA
"70",2,1,32,171.74907040596,NA
"71",2,1,33,37.1055784225464,NA
"72",3,4,5,1154.96005988121,NA
"73",3,4,17,406.787765264511,NA
"74",3,4,16,229.481695890427,NA
"75",3,4,8,151.107203483582,NA
"76",3,4,1,485.92946600914,NA
"77",3,4,31,508.037692308426,NA
"78",3,4,34,144.628528356552,NA
"79",3,4,35,83.4856135845184,NA
"80",3,4,36,397.771989822388,NA
"81",3,4,37,97.3153548240662,NA
"82",3,4,38,967.689695119858,NA
"83",3,4,39,65.8698573112488,NA
"84",3,4,40,44.1425318717957,NA
"85",3,4,41,763.813254117966,NA
"86",3,4,42,867.018230199814,NA
"87",3,4,43,52.7536330223083,NA
"88",3,4,44,30.6171250343323,NA
"89",3,4,45,63.3340759277344,NA
"90",3,4,46,97.8461256027222,NA
"91",3,4,47,193.813757419586,NA
"92",3,1,34,208.212645053864,NA
"93",3,1,35,92.9137892723083,NA
"94",3,1,36,456.401869058609,NA
"95",3,1,37,125.550981760025,NA
"96",3,1,38,969.503126144409,NA
"97",3,1,39,109.936976194382,NA
"98",3,1,40,63.1978318691254,NA
"99",3,1,41,540.797946691513,NA
"100",3,1,42,911.193676948547,NA
"101",3,1,43,26.9435751438141,NA
"102",3,1,44,28.1436679363251,NA
"103",3,1,45,71.1205816268921,NA
"104",3,1,46,90.7455666065216,NA
"105",3,1,47,168.947525024414,NA
"106",4,5,5,1179.30248069763,NA
"107",4,5,17,605.081430673599,NA
"108",4,5,16,303.312933206558,NA
"109",4,5,8,155.10163807869,NA
"110",4,5,1,555.916620492935,NA
"111",4,5,31,418.45187497139,NA
"112",4,5,48,261.425426721573,NA
"113",4,5,49,1098.02760672569,NA
"114",4,5,50,124.176371335983,NA
"115",4,5,51,70.4862353801727,NA
"116",4,5,52,463.576815843582,NA
"117",4,5,53,1957.32748031616,NA
"118",4,5,54,221.760355710983,NA
"119",4,5,55,314.012940645218,NA
"120",4,5,56,204.957120895386,NA
"121",4,5,57,83.7421514987946,NA
"122",4,5,58,248.746886014938,NA
"123",4,5,59,780.486778497696,NA
"124",4,5,60,229.958091259003,NA
"125",4,5,61,64.2648110389709,NA
"126",4,5,62,253.041880607605,NA
"127",4,1,48,227.769931793213,NA
"128",4,1,49,1394.92573022842,NA
"129",4,1,50,132.997744321823,NA
"130",4,1,51,90.110232591629,NA
"131",4,1,52,599.843485832214,NA
"132",4,1,53,1885.01670312881,NA
"133",4,1,54,454.523530006409,NA
"134",4,1,55,819.596267700195,NA
"135",4,1,56,282.079505205154,NA
"136",4,1,57,81.7858142852783,NA
"137",4,1,58,234.63014626503,NA
"138",4,1,59,507.257132053375,NA
"139",4,1,60,114.31160068512,NA
"140",4,1,61,45.5658783912659,NA
"141",4,1,62,91.2188963890076,NA
"142",5,6,5,1069.28751683235,NA
"143",5,6,17,478.373830318451,NA
"144",5,6,16,127.824668645859,NA
"145",5,6,8,132.57248210907,NA
"146",5,6,1,416.182577848434,NA
"147",5,6,31,543.103477954865,NA
"148",5,6,49,1267.27941536903,NA
"149",5,6,63,126.870438098907,NA
"150",5,6,64,447.19947052002,NA
"151",5,6,65,68.3978157043457,NA
"152",5,6,66,84.0953106880188,NA
"153",5,6,67,43.7413153648376,NA
"154",5,6,68,78.1114156246185,NA
"155",5,6,69,69.7819449901581,NA
"156",5,6,70,690.519382715225,NA
"157",5,6,71,573.831017971039,NA
"158",5,6,72,174.604929924011,NA
"159",5,6,73,2517.94083976746,NA
"160",5,6,74,60.3979952335358,NA
"161",5,6,75,146.915260076523,NA
"162",5,6,76,1210.34297084808,NA
"163",5,6,77,97.5237736701965,NA
"164",5,6,78,364.788604974747,NA
"165",5,6,79,698.431570291519,NA
"166",5,6,80,380.106233119965,NA
"167",5,1,63,83.0192813873291,NA
"168",5,1,64,517.533551454544,NA
"169",5,1,65,92.1897029876709,NA
"170",5,1,66,106.25158905983,NA
"171",5,1,67,108.326798439026,NA
"172",5,1,68,190.85128736496,NA
"173",5,1,69,77.7127482891083,NA
"174",5,1,70,821.089272499084,NA
"175",5,1,71,487.571726799011,NA
"176",5,1,72,365.91520524025,NA
"177",5,1,73,1990.81955361366,NA
"178",5,1,74,96.8030955791473,NA
"179",5,1,75,94.797886133194,NA
"180",5,1,76,1818.94531488419,NA
"181",5,1,77,29.7878215312958,NA
"182",5,1,78,185.611762046814,NA
"183",5,1,79,374.186317205429,NA
"184",5,1,80,149.109053611755,NA
"185",6,7,5,886.95002913475,NA
"186",6,7,17,597.239768028259,NA
"187",6,7,16,159.518841266632,NA
"188",6,7,8,86.3050701618195,NA
"189",6,7,1,552.945204019547,NA
"190",6,7,31,550.262440443039,NA
"191",6,7,49,1501.96340727806,NA
"192",6,7,81,49.3968005180359,NA
"193",6,7,82,232.749497175217,NA
"194",6,7,83,358.393951892853,NA
"195",6,7,84,174.805488824844,NA
"196",6,7,85,1010.36157536507,NA
"197",6,7,86,148.282826185226,NA
"198",6,7,87,33.2375857830048,NA
"199",6,7,88,870.860391139984,NA
"200",6,7,89,573.077494382858,NA
"201",6,7,90,2193.57515883446,NA
"202",6,7,91,541.949730873108,NA
"203",6,7,92,1479.83208394051,NA
"204",6,7,93,519.672000408173,NA
"205",6,7,94,27.0394542217255,NA
"206",6,7,95,307.76478266716,NA
"207",6,7,96,425.019202470779,NA
"208",6,7,97,401.265423774719,NA
"209",6,7,98,270.045290708542,NA
"210",6,7,99,125.649366617203,NA
"211",6,7,100,1008.14670419693,NA
"212",6,7,101,307.204318761826,NA
"213",6,7,102,290.003247499466,NA
"214",6,7,103,198.400516033173,NA
"215",6,7,104,446.022325515747,NA
"216",6,7,105,434.447538852692,NA
"217",6,7,106,16.4470088481903,NA
"218",6,7,107,114.269331216812,NA
"219",6,7,108,93.2146928310394,NA
"220",6,3,49,1514.065502882,NA
"221",6,3,81,48.084986448288,NA
"222",6,3,82,260.819987773895,NA
"223",6,3,83,332.040017604828,NA
"224",6,3,84,197.436727523804,NA
"225",6,3,85,1078.30028009415,NA
"226",6,3,86,118.279902219772,NA
"227",6,3,87,47.0916199684143,NA
"228",6,3,88,907.56911611557,NA
"229",6,3,89,553.763313531876,NA
"230",6,3,90,1875.92656159401,NA
"231",6,3,91,459.265297412872,NA
"232",6,3,92,1665.21707773209,NA
"233",6,3,93,502.480160713196,NA
"234",6,3,94,27.7718458175659,NA
"235",6,3,95,323.500421524048,NA
"236",6,3,96,603.454392433167,NA
"237",6,3,97,469.220416545868,NA
"238",6,3,98,372.569335222244,NA
"239",6,3,99,129.364948987961,NA
"240",6,3,100,952.737951517105,NA
"241",6,3,101,224.330628395081,NA
"242",6,3,102,284.817828178406,NA
"243",6,3,103,96.7479064464569,NA
"244",6,3,104,350.267549276352,NA
"245",6,3,105,483.003522634506,NA
"246",6,3,106,44.6880881786346,NA
"247",6,3,107,125.111405849457,NA
"248",6,3,108,82.7547278404236,NA
"249",7,8,5,734.166339635849,NA
"250",7,8,17,282.837324857712,NA
"251",7,8,16,136.160670757294,NA
"252",7,8,8,103.892157077789,NA
"253",7,8,1,396.486114740372,NA
"254",7,8,31,468.80354475975,NA
"255",7,8,49,1222.86741709709,NA
"256",7,8,109,510.647145032883,NA
"257",7,8,110,594.82682967186,NA
"258",7,8,111,144.750576972961,NA
"259",7,8,112,1366.85840296745,NA
"260",7,8,113,3288.18079328537,NA
"261",7,8,114,237.501574993134,NA
"262",7,8,115,1179.03937602043,NA
"263",7,8,116,1202.53905081749,NA
"264",7,8,117,189.777794837952,NA
"265",7,8,118,1235.18897795677,NA
"266",7,8,119,46.1390771865845,NA
"267",7,8,120,77.5494618415833,NA
"268",7,8,121,133.419307231903,NA
"269",7,8,122,1912.62468671799,NA
"270",7,8,123,164.747769832611,NA
"271",7,8,124,379.642299890518,NA
"272",7,8,125,568.171935558319,NA
"273",7,8,126,286.765589475632,NA
"274",7,8,127,209.645851373672,NA
"275",7,8,128,53.3662767410278,NA
"276",7,8,129,266.891213417053,NA
"277",7,8,130,80.044985294342,NA
"278",7,8,131,197.816962003708,NA
"279",7,8,132,189.705122947693,NA
"280",7,8,133,42.9705595970154,NA
"281",7,8,134,166.527982950211,NA
"282",7,8,135,428.013265609741,NA
"283",7,8,136,831.477077960968,NA
"284",7,8,137,134.088716745377,NA
"285",7,8,138,1136.48573756218,NA
"286",7,8,139,474.437316179276,NA
"287",7,8,140,114.992545127869,NA
"288",7,8,141,39.8165833950043,NA
"289",7,8,142,287.863310575485,NA
"290",7,8,143,136.608144521713,NA
"291",7,8,144,1136.40822768211,NA
"292",7,8,145,318.005124807358,NA
"293",7,8,146,803.085413217545,NA
"294",7,8,147,99.5535101890564,NA
"295",7,8,148,205.211836099625,NA
"296",7,8,149,58.4389262199402,NA
"297",7,8,150,339.413406848907,NA
"298",7,8,151,321.350680351257,NA
"299",7,8,152,150.028637647629,NA
"300",7,8,153,85.7851965427399,NA
"301",7,8,154,222.565458059311,NA
"302",7,8,155,250.454493761063,NA
"303",7,8,156,1374.44070219994,NA
"304",7,8,157,42.5873417854309,NA
"305",7,8,158,74.8543984889984,NA
"306",7,8,159,59.4541819095612,NA
"307",7,8,160,911.40452337265,NA
"308",7,8,161,122.882059812546,NA
"309",7,2,31,370.537227869034,NA
"310",7,2,49,1481.15910482407,NA
"311",7,2,109,511.361651420593,NA
"312",7,2,110,495.130292415619,NA
"313",7,2,111,145.578024148941,NA
"314",7,2,112,1373.16777706146,NA
"315",7,2,113,3335.36621332169,NA
"316",7,2,114,102.120843410492,NA
"317",7,2,115,1239.23519682884,NA
"318",7,2,116,957.539316415787,NA
"319",7,2,117,254.391474962234,NA
"320",7,2,118,1170.29689788818,NA
"321",7,2,119,61.1518890857697,NA
"322",7,2,120,119.351984262466,NA
"323",7,2,121,150.087131500244,NA
"324",7,2,122,1985.08224534988,NA
"325",7,2,123,126.298748493195,NA
"326",7,2,124,376.56413769722,NA
"327",7,2,125,499.062031030655,NA
"328",7,2,126,259.911613702774,NA
"329",7,2,127,180.89376950264,NA
"330",7,2,128,59.8316504955292,NA
"331",7,2,129,294.947821855545,NA
"332",7,2,130,80.562882900238,NA
"333",7,2,131,205.118680477142,NA
"334",7,2,132,364.84663939476,NA
"335",7,2,133,39.7680978775024,NA
"336",7,2,134,162.081350803375,NA
"337",7,2,135,398.279038667679,NA
"338",7,2,136,718.335875749588,NA
"339",7,2,137,155.060626268387,NA
"340",7,2,138,1436.48810434341,NA
"341",7,2,139,358.279673576355,NA
"342",7,2,140,183.557309627533,NA
"343",7,2,141,51.4430677890778,NA
"344",7,2,142,398.588921070099,NA
"345",7,2,143,150.837351799011,NA
"346",7,2,144,928.834328174591,NA
"347",7,2,145,314.294825315475,NA
"348",7,2,146,598.892303705215,NA
"349",7,2,147,97.3100974559784,NA
"350",7,2,148,134.420505046844,NA
"351",7,2,149,94.8096873760223,NA
"352",7,2,150,371.241292715073,NA
"353",7,2,151,423.358901023865,NA
"354",7,2,152,203.705475330353,NA
"355",7,2,153,89.7857534885406,NA
"356",7,2,154,225.613088607788,NA
"357",7,2,155,274.985677242279,NA
"358",7,2,156,1380.79013180733,NA
"359",7,2,157,92.6378057003021,NA
"360",7,2,158,71.5337193012238,NA
"361",7,2,159,61.0042912960052,NA
"362",7,2,160,739.152390241623,NA
"363",7,2,161,121.687991142273,NA
"364",7,1,151,683.763468742371,NA
"365",7,1,155,680.357514381409,NA
"366",7,7,155,250.196061372757,NA
"367",8,9,31,528.031334877014,NA
"368",8,9,5,804.533653259277,NA
"369",8,9,17,451.506901741028,NA
"370",8,9,16,131.897367715836,NA
"371",8,9,8,154.723300457001,NA
"372",8,9,1,525.906032085419,NA
"373",8,9,49,1205.90411424637,NA
"374",8,9,162,1089.48832535744,NA
"375",8,9,163,1149.76082253456,NA
"376",8,9,164,40.3658096790314,NA
"377",8,9,165,81.0354716777802,NA
"378",8,9,166,570.264221906662,NA
"379",8,9,167,805.26630115509,NA
"380",8,9,168,146.800228118896,NA
"381",8,9,169,342.365865945816,NA
"382",8,9,170,242.302319049835,NA
"383",8,9,171,260.687133789062,NA
"384",8,9,172,90.5426509380341,NA
"385",8,9,173,558.363005876541,NA
"386",8,9,174,349.874755382538,NA
"387",8,9,175,867.776759386063,NA
"388",8,9,176,124.106236219406,NA
"389",8,9,177,41.2009258270264,NA
"390",8,9,178,470.175778150558,NA
"391",8,9,179,3321.27187943459,NA
"392",8,9,180,1505.46276164055,NA
"393",8,9,181,104.185102462769,NA
"394",8,9,182,256.253380298615,NA
"395",8,9,183,248.796476125717,NA
"396",8,9,184,217.106694459915,NA
"397",8,9,185,964.874428987503,NA
"398",8,9,186,1460.72031998634,NA
"399",8,9,187,101.057794332504,NA
"400",8,9,188,116.311116933823,NA
"401",8,9,189,47.799968957901,NA
"402",8,9,190,103.384338855743,NA
"403",8,9,191,546.408992052078,NA
"404",8,9,192,430.883845090866,NA
"405",8,9,193,565.959896802902,NA
"406",8,9,194,427.121559858322,NA
"407",8,9,195,1895.99269652367,NA
"408",8,9,196,199.813688755035,NA
"409",8,9,197,346.064137458801,NA
"410",8,9,198,203.230267286301,NA
"411",8,9,199,115.203059196472,NA
"412",8,9,200,125.342550992966,NA
"413",8,9,201,85.7530152797699,NA
"414",8,9,202,99.6240522861481,NA
"415",8,9,203,389.373702287674,NA
"416",8,3,162,817.321991682053,NA
"417",8,3,163,1791.7025616169,NA
"418",8,3,164,47.2998721599579,NA
"419",8,3,165,101.445608615875,NA
"420",8,3,166,701.159724712372,NA
"421",8,3,167,440.108217716217,NA
"422",8,3,168,121.097760915756,NA
"423",8,3,169,175.908804416656,NA
"424",8,3,170,177.765364646912,NA
"425",8,3,171,236.000142097473,NA
"426",8,3,172,51.6374521255493,NA
"427",8,3,173,719.592017889023,NA
"428",8,3,174,467.460389852524,NA
"429",8,3,175,805.17676615715,NA
"430",8,3,176,156.264396905899,NA
"431",8,3,177,49.5238764286041,NA
"432",8,3,178,397.156672954559,NA
"433",8,3,179,2920.56037330627,NA
"434",8,3,180,2166.11731767654,NA
"435",8,3,181,126.876865148544,NA
"436",8,3,182,354.317375898361,NA
"437",8,3,183,177.193600654602,NA
"438",8,3,184,99.1131303310394,NA
"439",8,3,185,3251.95230507851,NA
"440",8,3,186,1352.03295040131,NA
"441",8,3,187,71.9921650886536,NA
"442",8,3,188,68.6517825126648,NA
"443",8,3,189,27.0296351909637,NA
"444",8,3,190,79.6992628574371,NA
"445",8,3,191,521.997981786728,NA
"446",8,3,192,246.030199766159,NA
"447",8,3,193,404.15251660347,NA
"448",8,3,194,316.294359922409,NA
"449",8,3,195,1771.82501482964,NA
"450",8,3,196,157.187412500381,NA
"451",8,3,197,256.805372953415,NA
"452",8,3,198,130.922214746475,NA
"453",8,3,199,45.0047047138214,NA
"454",8,3,200,37.629588842392,NA
"455",8,3,201,36.5370388031006,NA
"456",8,3,202,39.392902135849,NA
"457",8,3,203,245.281663179398,NA
"458",8,2,170,159.869139671326,NA
"459",9,10,31,293.163298130035,NA
"460",9,10,5,1184.9218454361,NA
"461",9,10,17,465.520634174347,NA
"462",9,10,16,130.45784330368,NA
"463",9,10,8,87.9430274963379,NA
"464",9,10,1,519.760149002075,NA
"465",9,10,49,1386.72480273247,NA
"466",9,10,204,29.9137923717499,NA
"467",9,10,205,305.228139162064,NA
"468",9,10,206,410.536014795303,NA
"469",9,10,207,138.925801277161,NA
"470",9,10,208,253.275164365768,NA
"471",9,10,209,134.461699962616,NA
"472",9,10,210,1385.4358997345,NA
"473",9,10,211,143.446802377701,NA
"474",9,10,212,74.6067538261414,NA
"475",9,10,213,224.811758756638,NA
"476",9,10,214,1151.33981370926,NA
"477",9,10,215,312.518141746521,NA
"478",9,10,216,135.77431678772,NA
"479",9,10,217,774.891617298126,NA
"480",9,10,218,111.981068134308,NA
"481",9,10,219,362.569397211075,NA
"482",9,10,220,485.148557186127,NA
"483",9,10,221,1894.39752173424,NA
"484",9,10,222,79.7512183189392,NA
"485",9,10,223,139.011650800705,NA
"486",9,10,224,113.127888917923,NA
"487",9,10,225,236.279554843903,NA
"488",9,10,226,180.443583488464,NA
"489",9,10,227,264.854868650436,NA
"490",9,10,228,37.0004856586456,NA
"491",9,10,229,29.2749497890472,NA
"492",9,10,230,435.672229290009,NA
"493",9,10,231,92.9051406383514,NA
"494",9,10,232,120.971275091171,NA
"495",9,10,233,1396.69883584976,NA
"496",9,10,234,876.889971256256,NA
"497",9,10,235,70.9545595645905,NA
"498",9,10,236,141.716926574707,NA
"499",9,6,204,20.7472398281097,NA
"500",9,6,205,209.270764827728,NA
"501",9,6,206,454.968617677689,NA
"502",9,6,207,140.629786968231,NA
"503",9,6,208,269.817737340927,NA
"504",9,6,209,164.176126003265,NA
"505",9,6,210,1408.32737350464,NA
"506",9,6,211,168.830082416534,NA
"507",9,6,212,80.2657825946808,NA
"508",9,6,213,316.258400440216,NA
"509",9,6,214,986.350964069366,NA
"510",9,6,215,286.988062858582,NA
"511",9,6,216,123.955224990845,NA
"512",9,6,217,846.106251478195,NA
"513",9,6,218,82.1629064083099,NA
"514",9,6,219,335.265125513077,NA
"515",9,6,220,484.987122297287,NA
"516",9,6,221,1767.57781362534,NA
"517",9,6,222,69.6413557529449,NA
"518",9,6,223,156.573601722717,NA
"519",9,6,224,87.5167498588562,NA
"520",9,6,225,212.850357055664,NA
"521",9,6,226,81.8079926967621,NA
"522",9,6,227,152.413282871246,NA
"523",9,6,228,31.1423230171204,NA
"524",9,6,229,37.3949303627014,NA
"525",9,6,230,522.225631713867,NA
"526",9,6,231,138.722183942795,NA
"527",9,6,232,130.370356082916,NA
"528",9,6,233,824.075268030167,NA
"529",9,6,234,755.679650306702,NA
"530",9,6,235,64.4701459407806,NA
"531",9,6,236,127.378862142563,NA
"532",9,9,214,1469.14028072357,NA
"533",9,9,221,1706.59484148026,NA
"534",10,11,31,437.323001384735,NA
"535",10,11,5,1197.71709918976,NA
"536",10,11,17,615.020946502686,NA
"537",10,11,16,251.758454561234,NA
"538",10,11,8,134.664190769196,NA
"539",10,11,1,548.999084949493,NA
"540",10,11,49,1449.42515063286,NA
"541",10,11,237,620.872174263,NA
"542",10,11,238,3383.98655152321,NA
"543",10,11,239,135.917767047882,NA
"544",10,11,240,129.263611078262,NA
"545",10,11,241,218.923916578293,NA
"546",10,11,242,737.567029476166,NA
"547",10,11,243,101.436830043793,NA
"548",10,11,244,295.445229291916,NA
"549",10,11,245,259.040076255798,NA
"550",10,11,246,96.8566696643829,NA
"551",10,11,247,44.7882120609283,NA
"552",10,11,248,223.458841085434,NA
"553",10,11,249,1364.76973676682,NA
"554",10,11,250,1403.34248423576,NA
"555",10,11,251,349.441289663315,NA
"556",10,11,252,77.3872330188751,NA
"557",10,11,253,106.512186527252,NA
"558",10,11,254,363.419288158417,NA
"559",10,11,255,648.966473579407,NA
"560",10,11,256,400.615604400635,NA
"561",10,11,257,93.8119885921478,NA
"562",10,11,258,193.794334411621,NA
"563",10,11,259,1642.39735221863,NA
"564",10,3,237,626.538531541824,NA
"565",10,3,238,3787.73804235458,NA
