,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
19,19,3.1185648441314697,2024-06-18 02:49:56.160718,2024-06-18 03:02:33.016716,0 days 00:12:36.855998,6,True,False,False,False,,,,,0.4,172,5.0,7.0,6.0,,,,,11.0,7.0,11.0,,,,,1,False,False,True,False,,,,,4,2,126.0,,COMPLETE
20,20,2.306663751602173,2024-06-18 03:02:33.036285,2024-06-18 03:45:23.515468,0 days 00:42:50.479183,5,False,False,False,,,,,,0.35000000000000003,237,8.0,7.0,,,,,,11.0,11.0,,,,,,3,False,False,True,,,,,,3,2,17.0,,COMPLETE
21,21,0.8237637877464294,2024-06-18 03:40:16.951246,2024-06-18 03:53:58.291516,0 days 00:13:41.340270,10,False,False,False,,,,,,0.32,234,8.0,5.0,,,,,,11.0,7.0,,,,,,3,True,False,True,,,,,,3,2,38.0,,COMPLETE
22,22,1.314803957939148,2024-06-18 03:45:23.529663,2024-06-18 03:53:11.913414,0 days 00:07:48.383751,10,True,False,False,True,True,False,True,,0.16,121,7.0,5.0,7.0,8.0,7.0,5.0,,5.0,7.0,9.0,7.0,11.0,3.0,,2,True,False,True,False,True,True,,,7,2,41.0,,COMPLETE
23,23,0.8989601731300354,2024-06-18 03:53:11.938229,2024-06-18 04:17:59.481685,0 days 00:24:47.543456,6,True,False,False,True,False,,,,0.43,73,5.0,6.0,8.0,7.0,,,,5.0,11.0,7.0,3.0,,,,5,True,False,True,False,False,,,,5,2,65.0,,COMPLETE
24,24,0.8070909380912781,2024-06-18 03:53:58.312896,2024-06-18 04:02:57.969318,0 days 00:08:59.656422,10,False,False,False,,,,,,0.31,191,8.0,5.0,,,,,,11.0,7.0,,,,,,3,True,False,True,,,,,,3,2,25.0,,COMPLETE
25,25,0.7511704564094543,2024-06-18 04:02:57.985372,2024-06-18 04:15:52.598236,0 days 00:12:54.612864,8,False,False,,,,,,,0.3,179,8.0,,,,,,,11.0,,,,,,,4,True,False,,,,,,,2,2,19.0,,COMPLETE
26,26,1.3591434955596924,2024-06-18 04:15:52.618316,2024-06-18 04:34:10.916477,0 days 00:18:18.298161,8,False,,,,,,,,0.45,191,,,,,,,,,,,,,,,5,True,,,,,,,,1,2,17.0,,COMPLETE
27,27,0.9725773334503174,2024-06-18 04:17:59.503966,2024-06-18 04:31:24.808104,0 days 00:13:25.304138,8,False,,,,,,,,0.2,150,,,,,,,,,,,,,,,4,True,,,,,,,,1,2,18.0,,COMPLETE
28,28,0.8572914004325867,2024-06-18 04:31:24.832151,2024-06-18 04:42:26.096776,0 days 00:11:01.264625,8,False,False,,,,,,,0.0,190,8.0,,,,,,,11.0,,,,,,,4,True,False,,,,,,,2,3,24.0,28.0,COMPLETE
29,29,0.7647660374641418,2024-06-18 04:34:10.935614,2024-06-18 04:59:11.837830,0 days 00:25:00.902216,10,False,False,,,,,,,0.37,189,8.0,,,,,,,11.0,,,,,,,4,True,False,,,,,,,2,3,26.0,30.0,COMPLETE
30,30,0.8265220522880554,2024-06-18 04:42:26.112102,2024-06-18 04:53:28.475654,0 days 00:11:02.363552,10,False,False,True,,,,,,0.39,123,7.0,5.0,,,,,,7.0,7.0,,,,,,4,True,False,False,,,,,,3,1,,,COMPLETE
31,31,1.0800114870071411,2024-06-18 04:53:28.498988,2024-06-18 05:33:36.697560,0 days 00:40:08.198572,9,True,True,,,,,,,0.17,177,8.0,,,,,,,11.0,,,,,,,5,True,True,,,,,,,2,3,13.0,26.0,COMPLETE
32,32,1.0325084924697876,2024-06-18 04:59:11.859755,2024-06-18 05:53:42.160958,0 days 00:54:30.301203,9,True,True,,,,,,,0.46,214,7.0,,,,,,,11.0,,,,,,,5,True,True,,,,,,,2,3,13.0,35.0,COMPLETE
33,33,0.8375862240791321,2024-06-18 05:33:36.727106,2024-06-18 05:46:15.704836,0 days 00:12:38.977730,10,False,False,True,,,,,,0.3,211,8.0,5.0,,,,,,11.0,7.0,,,,,,4,True,False,False,,,,,,3,3,26.0,58.0,COMPLETE
34,34,0.8600055575370789,2024-06-18 05:46:15.722240,2024-06-18 05:53:42.595980,0 days 00:07:26.873740,9,False,False,,,,,,,0.35000000000000003,248,8.0,,,,,,,11.0,,,,,,,3,True,False,,,,,,,2,2,31.0,,COMPLETE
35,35,0.878538966178894,2024-06-18 05:53:42.189596,2024-06-18 06:04:50.883819,0 days 00:11:08.694223,10,False,False,False,False,,,,,0.35000000000000003,254,8.0,6.0,6.0,,,,,7.0,7.0,9.0,,,,,3,True,False,True,False,,,,,4,2,32.0,,COMPLETE
36,36,0.7164669632911682,2024-06-18 05:53:42.635313,2024-06-18 06:19:41.751684,0 days 00:25:59.116371,10,False,False,False,False,,,,,0.22,138,8.0,6.0,6.0,,,,,7.0,7.0,9.0,,,,,4,True,False,True,False,,,,,4,2,47.0,,COMPLETE
37,37,1.1960692405700684,2024-06-18 06:04:50.900819,2024-06-18 06:39:36.375322,0 days 00:34:45.474503,10,False,False,False,,,,,,0.24,137,8.0,5.0,,,,,,3.0,9.0,,,,,,4,True,False,False,,,,,,3,3,43.0,4.0,COMPLETE
38,38,1.1959741115570068,2024-06-18 06:19:41.768686,2024-06-18 06:37:01.417100,0 days 00:17:19.648414,7,False,False,True,False,,,,,0.26,137,7.0,7.0,6.0,,,,,7.0,9.0,9.0,,,,,4,True,False,False,False,,,,,4,3,48.0,4.0,COMPLETE
39,39,1.4251525402069092,2024-06-18 06:37:01.439117,2024-06-18 06:52:41.525552,0 days 00:15:40.086435,9,False,,,,,,,,0.23,161,,,,,,,,,,,,,,,5,True,,,,,,,,1,1,,,COMPLETE
40,40,1.4394469261169434,2024-06-18 06:39:36.400322,2024-06-18 06:55:34.541517,0 days 00:15:58.141195,9,False,,,,,,,,0.21,170,,,,,,,,,,,,,,,5,True,,,,,,,,1,1,,,COMPLETE
41,41,0.8895372152328491,2024-06-18 06:52:41.543305,2024-06-18 07:46:35.342286,0 days 00:53:53.798981,8,False,False,False,False,False,,,,0.2,204,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,7.0,,,,5,True,False,True,False,True,,,,5,2,20.0,,COMPLETE
42,42,0.7457779049873352,2024-06-18 06:55:34.562079,2024-06-18 07:07:04.756555,0 days 00:11:30.194476,8,False,False,False,False,False,,,,0.27,88,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,20.0,,COMPLETE
43,43,0.7608819603919983,2024-06-18 07:07:04.782960,2024-06-18 07:18:38.139714,0 days 00:11:33.356754,8,False,False,False,False,False,,,,0.27,66,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,20.0,,COMPLETE
44,44,0.7533605694770813,2024-06-18 07:18:38.158673,2024-06-18 07:30:58.642562,0 days 00:12:20.483889,8,False,False,False,False,False,,,,0.26,56,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,20.0,,COMPLETE
45,45,0.74200040102005,2024-06-18 07:30:57.980878,2024-06-18 07:41:55.746985,0 days 00:10:57.766107,8,False,False,False,False,False,,,,0.27,61,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,20.0,,COMPLETE
46,46,1.2796746492385864,2024-06-18 07:30:58.666583,2024-06-18 07:45:52.615788,0 days 00:14:53.949205,7,False,False,False,False,False,,,,0.17,38,7.0,6.0,6.0,6.0,,,,7.0,7.0,9.0,5.0,,,,5,True,False,True,False,True,,,,5,2,14.0,,COMPLETE
47,47,1.3300909996032715,2024-06-18 07:41:55.773715,2024-06-18 07:59:28.471668,0 days 00:17:32.697953,7,False,False,False,False,False,,,,0.17,46,6.0,6.0,6.0,5.0,,,,7.0,5.0,9.0,5.0,,,,5,True,False,True,False,True,,,,5,2,13.0,,COMPLETE
48,48,2.3040971755981445,2024-06-18 07:45:52.643240,2024-06-18 07:49:03.179523,0 days 00:03:10.536283,7,False,False,False,False,False,True,True,,0.12,85,7.0,6.0,6.0,5.0,7.0,6.0,,7.0,5.0,9.0,5.0,9.0,5.0,,2,True,False,True,False,True,False,False,,7,2,4.0,,COMPLETE
49,49,0.8677496910095215,2024-06-18 07:46:35.362652,2024-06-18 07:57:14.765445,0 days 00:10:39.402793,7,False,False,False,False,False,True,True,,0.29,94,6.0,7.0,6.0,5.0,7.0,7.0,,7.0,5.0,9.0,5.0,9.0,11.0,,4,False,False,True,False,True,False,False,,7,2,9.0,,COMPLETE
50,50,0.6914599537849426,2024-06-18 07:49:03.202632,2024-06-18 08:02:06.792049,0 days 00:13:03.589417,7,False,False,False,False,,,,,0.29,100,6.0,7.0,6.0,,,,,7.0,7.0,9.0,,,,,4,False,True,True,False,,,,,4,2,8.0,,COMPLETE
51,51,1.0500496625900269,2024-06-18 07:57:14.793466,2024-06-18 08:01:50.291164,0 days 00:04:35.497698,8,True,True,False,False,,,,,0.09,30,6.0,6.0,7.0,,,,,3.0,7.0,9.0,,,,,4,True,True,True,False,,,,,4,2,7.0,,COMPLETE
52,52,1.137876272201538,2024-06-18 07:59:28.493717,2024-06-18 08:04:48.659315,0 days 00:05:20.165598,8,True,True,False,False,False,True,,,0.14,24,7.0,7.0,7.0,7.0,7.0,,,3.0,3.0,5.0,9.0,7.0,,,4,True,True,True,False,True,,,,6,2,7.0,,COMPLETE
53,53,0.8774409890174866,2024-06-18 08:01:50.306206,2024-06-18 08:06:06.740889,0 days 00:04:16.434683,8,False,False,False,False,False,True,,,0.25,51,7.0,6.0,7.0,6.0,7.0,,,7.0,7.0,9.0,5.0,7.0,,,4,True,False,True,False,True,False,,,6,2,29.0,,COMPLETE
54,54,0.8309613466262817,2024-06-18 08:02:06.814443,2024-06-18 08:09:20.133272,0 days 00:07:13.318829,6,False,False,False,False,False,True,,,0.28,105,5.0,7.0,6.0,7.0,6.0,,,7.0,7.0,9.0,9.0,7.0,,,4,False,True,True,False,True,False,,,6,2,7.0,,COMPLETE
55,55,0.8911579251289368,2024-06-18 08:04:48.674317,2024-06-18 08:10:37.946427,0 days 00:05:49.272110,6,False,False,False,False,,,,,0.28,108,5.0,8.0,6.0,,,,,7.0,7.0,3.0,,,,,3,False,True,True,False,,,,,4,2,10.0,,COMPLETE
56,56,0.8857706785202026,2024-06-18 08:06:06.765701,2024-06-18 08:11:40.566732,0 days 00:05:33.801031,6,False,False,False,False,,,,,0.33,103,5.0,8.0,6.0,,,,,7.0,7.0,3.0,,,,,3,False,True,True,False,,,,,4,2,55.0,,COMPLETE
57,57,1.0055992603302002,2024-06-18 08:09:20.157209,2024-06-18 08:27:00.334883,0 days 00:17:40.177674,4,False,False,False,False,,,,,0.22,77,6.0,8.0,6.0,,,,,9.0,7.0,3.0,,,,,3,False,True,True,True,,,,,4,2,10.0,,COMPLETE
58,58,0.9260919094085693,2024-06-18 08:10:37.970602,2024-06-18 08:20:48.527239,0 days 00:10:10.556637,4,False,False,False,False,,,,,0.22,79,6.0,7.0,5.0,,,,,9.0,3.0,9.0,,,,,3,False,True,True,True,,,,,4,2,56.0,,COMPLETE
59,59,0.7544140219688416,2024-06-18 08:11:40.582733,2024-06-18 10:51:10.569366,0 days 02:39:29.986633,4,False,False,False,False,,,,,0.22,89,6.0,7.0,5.0,,,,,9.0,3.0,9.0,,,,,5,False,True,True,True,,,,,4,2,100.0,,COMPLETE
60,60,0.9134063720703125,2024-06-18 08:20:48.553316,2024-06-18 09:02:01.876327,0 days 00:41:13.323011,9,True,False,False,False,False,,,,0.33,119,6.0,5.0,5.0,6.0,,,,5.0,7.0,9.0,5.0,,,,5,False,False,True,True,True,,,,5,2,96.0,,COMPLETE
61,61,1.4602702856063843,2024-06-18 08:27:00.359521,2024-06-18 09:19:56.205572,0 days 00:52:55.846051,9,True,False,True,False,False,,,,0.31,135,6.0,5.0,8.0,6.0,,,,5.0,7.0,9.0,5.0,,,,5,False,False,True,False,True,,,,5,2,5.0,,COMPLETE
62,62,1.0627354383468628,2024-06-18 09:02:01.903903,2024-06-18 09:12:49.955375,0 days 00:10:48.051472,7,True,False,True,,,,,,0.24,137,5.0,6.0,,,,,,5.0,9.0,,,,,,4,False,False,True,,,,,,3,1,,,COMPLETE
63,63,0.7564315795898438,2024-06-18 09:12:49.977367,2024-06-18 09:26:34.451228,0 days 00:13:44.473861,8,False,False,False,False,False,,,,0.26,53,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,22.0,,COMPLETE
64,64,0.7174521684646606,2024-06-18 09:19:56.230673,2024-06-18 09:30:28.179423,0 days 00:10:31.948750,8,False,False,False,False,False,,,,0.27,62,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,15.0,,COMPLETE
65,65,0.746737539768219,2024-06-18 09:26:34.480899,2024-06-18 09:37:12.390041,0 days 00:10:37.909142,8,False,False,False,False,False,,,,0.2,59,7.0,6.0,7.0,6.0,,,,7.0,7.0,5.0,5.0,,,,4,True,False,True,False,True,,,,5,2,16.0,,COMPLETE
66,66,2.4634695053100586,2024-06-18 09:30:28.207400,2024-06-18 09:35:51.926979,0 days 00:05:23.719579,5,False,False,False,False,,,,,0.19,66,7.0,6.0,7.0,,,,,7.0,7.0,5.0,,,,,1,True,False,True,False,,,,,4,2,15.0,,COMPLETE
67,67,0.7422574758529663,2024-06-18 09:35:51.951616,2024-06-18 09:45:17.825692,0 days 00:09:25.874076,8,False,False,False,False,False,,,,0.3,90,7.0,7.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,11.0,,COMPLETE
68,68,0.7271294593811035,2024-06-18 09:37:12.410042,2024-06-18 09:50:27.599691,0 days 00:13:15.189649,7,False,False,False,False,False,,,,0.24,90,7.0,6.0,7.0,5.0,,,,7.0,7.0,5.0,5.0,,,,4,True,False,True,False,True,,,,5,2,11.0,,COMPLETE
69,69,0.8081642389297485,2024-06-18 09:45:17.850333,2024-06-18 09:54:12.033662,0 days 00:08:54.183329,7,False,False,False,False,False,False,,,0.37,93,7.0,7.0,7.0,5.0,5.0,,,7.0,7.0,9.0,5.0,11.0,,,4,True,False,True,False,True,True,,,6,2,11.0,,COMPLETE
70,70,0.9892293810844421,2024-06-18 09:50:27.622058,2024-06-18 10:09:06.576309,0 days 00:18:38.954251,7,False,True,False,False,False,False,,,0.24,92,7.0,7.0,7.0,5.0,5.0,,,7.0,7.0,5.0,5.0,11.0,,,5,True,False,True,False,True,True,,,6,2,11.0,,COMPLETE
71,71,1.0504437685012817,2024-06-18 09:54:12.057999,2024-06-18 10:12:51.854777,0 days 00:18:39.796778,7,False,True,False,False,,,,,0.24,69,7.0,7.0,8.0,,,,,7.0,7.0,5.0,,,,,5,True,False,True,False,,,,,4,2,8.0,,COMPLETE
72,72,0.9788939356803894,2024-06-18 10:09:06.618894,2024-06-18 10:18:37.644289,0 days 00:09:31.025395,5,False,False,False,False,,,,,0.47000000000000003,70,7.0,7.0,8.0,,,,,7.0,3.0,5.0,,,,,3,True,True,True,False,,,,,4,2,9.0,,COMPLETE
73,73,0.7878680229187012,2024-06-18 10:12:51.886662,2024-06-18 10:23:03.985929,0 days 00:10:12.099267,9,False,False,False,False,False,,,,0.29,87,7.0,6.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,12.0,,COMPLETE
74,74,0.7557054162025452,2024-06-18 10:18:37.672716,2024-06-18 10:30:04.263601,0 days 00:11:26.590885,6,False,False,False,False,False,,,,0.28,115,7.0,6.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,15.0,,COMPLETE
75,75,0.7451977729797363,2024-06-18 10:23:04.018965,2024-06-18 10:34:19.260176,0 days 00:11:15.241211,8,False,False,False,False,False,,,,0.27,119,7.0,6.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,15.0,,COMPLETE
76,76,0.8267217874526978,2024-06-18 10:30:04.289305,2024-06-18 10:45:41.010102,0 days 00:15:36.720797,8,False,False,False,False,False,,,,0.27,268,7.0,6.0,7.0,5.0,,,,7.0,7.0,11.0,7.0,,,,4,True,False,True,False,True,,,,5,2,23.0,,COMPLETE
77,77,0.8001954555511475,2024-06-18 10:34:19.282291,2024-06-18 10:52:37.761179,0 days 00:18:18.478888,8,False,False,False,False,,,,,0.42,129,7.0,6.0,7.0,,,,,5.0,7.0,11.0,,,,,4,True,False,False,False,,,,,4,2,8.0,,COMPLETE
78,78,0.8774293065071106,2024-06-18 10:45:41.042497,2024-06-18 11:06:28.161759,0 days 00:20:47.119262,7,False,False,False,False,,,,,0.3,127,6.0,7.0,7.0,,,,,5.0,7.0,9.0,,,,,4,True,False,False,False,,,,,4,2,6.0,,COMPLETE
79,79,0.9242630004882812,2024-06-18 10:51:10.583365,2024-06-18 11:06:35.223097,0 days 00:15:24.639732,7,True,False,False,True,,,,,0.31,125,7.0,6.0,7.0,,,,,5.0,7.0,7.0,,,,,4,True,False,False,False,,,,,4,2,8.0,,COMPLETE
80,80,2.7711641788482666,2024-06-18 10:52:37.778535,2024-06-18 10:59:18.028512,0 days 00:06:40.249977,7,True,False,False,True,True,True,,,0.31,148,7.0,6.0,8.0,5.0,8.0,,,7.0,7.0,7.0,9.0,5.0,,,2,True,False,True,False,True,False,,,6,2,17.0,,COMPLETE
81,81,0.9063990116119385,2024-06-18 10:59:18.053607,2024-06-18 11:06:32.939994,0 days 00:07:14.886387,9,False,False,False,False,False,,,,0.34,99,7.0,5.0,6.0,5.0,,,,7.0,11.0,9.0,5.0,,,,3,True,False,True,False,True,,,,5,2,6.0,,COMPLETE
82,82,8.849145889282227,2024-06-18 11:06:28.186601,2024-06-18 11:08:13.506183,0 days 00:01:45.319582,9,False,False,False,False,False,,,,0.34,102,5.0,5.0,6.0,5.0,,,,7.0,9.0,9.0,11.0,,,,0,True,False,True,False,True,,,,5,2,35.0,,COMPLETE
83,83,0.7585280537605286,2024-06-18 11:06:32.960415,2024-06-18 11:19:55.217349,0 days 00:13:22.256934,8,False,False,False,False,False,,,,0.25,80,7.0,6.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,36.0,,COMPLETE
84,84,0.7543889880180359,2024-06-18 11:06:35.234396,2024-06-18 11:21:44.923800,0 days 00:15:09.689404,8,False,False,False,False,False,,,,0.25,114,7.0,6.0,7.0,5.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,12.0,,COMPLETE
85,85,0.7552237510681152,2024-06-18 11:08:13.532987,2024-06-18 11:22:17.882484,0 days 00:14:04.349497,8,False,False,False,False,False,,,,0.27,114,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,12.0,,COMPLETE
86,86,0.7566924095153809,2024-06-18 11:19:55.243481,2024-06-18 11:33:11.193162,0 days 00:13:15.949681,8,False,False,False,False,False,,,,0.27,114,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,18.0,,COMPLETE
87,87,0.7569018006324768,2024-06-18 11:21:44.943802,2024-06-18 11:35:10.150089,0 days 00:13:25.206287,8,False,False,False,False,False,,,,0.27,44,7.0,6.0,7.0,6.0,,,,7.0,7.0,9.0,5.0,,,,4,True,False,True,False,True,,,,5,2,14.0,,COMPLETE
88,88,0.8373606204986572,2024-06-18 11:22:17.905622,2024-06-18 11:30:50.162487,0 days 00:08:32.256865,8,False,False,False,False,True,,,,0.19,60,8.0,6.0,7.0,6.0,,,,3.0,7.0,9.0,3.0,,,,4,True,False,True,False,True,,,,5,2,14.0,,COMPLETE
89,89,0.9345827102661133,2024-06-18 11:30:50.183074,2024-06-18 11:36:28.748911,0 days 00:05:38.565837,8,False,False,True,False,False,True,,,0.23,83,7.0,6.0,8.0,6.0,6.0,,,7.0,5.0,9.0,5.0,5.0,,,4,True,False,True,False,False,False,,,6,2,18.0,,COMPLETE
90,90,0.8919579982757568,2024-06-18 11:33:11.225905,2024-06-18 11:40:01.021828,0 days 00:06:49.795923,6,False,False,True,False,False,True,,,0.23,43,7.0,6.0,6.0,7.0,6.0,,,7.0,5.0,9.0,11.0,5.0,,,4,True,False,True,False,False,False,,,6,2,46.0,,COMPLETE
91,91,1.0053755044937134,2024-06-18 11:35:10.170120,2024-06-18 11:53:45.022476,0 days 00:18:34.852356,6,False,False,True,False,True,True,,,0.23,148,8.0,7.0,6.0,7.0,6.0,,,7.0,5.0,9.0,11.0,5.0,,,5,True,False,True,False,False,False,,,6,2,47.0,,COMPLETE
