,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_dropout,params_epochs,params_filtersind0,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_kernel_size0,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_learnind,params_maxpooling,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
0,0,0.7007423639297485,2024-06-17 22:54:06.070679,2024-06-18 02:18:11.023814,0 days 03:24:04.953135,4,True,False,False,False,,,,,0.47000000000000003,231,5.0,5.0,8.0,,,,,5.0,7.0,9.0,,,,,5,True,False,True,False,,,,,4,2,50.0,,COMPLETE
1,1,2.816765308380127,2024-06-17 22:54:06.078225,2024-06-17 23:07:05.518565,0 days 00:12:59.440340,6,True,False,False,False,True,False,False,,0.2,260,5.0,6.0,8.0,5.0,6.0,5.0,,7.0,5.0,11.0,9.0,11.0,7.0,,0,False,False,True,True,False,False,True,,7,3,6.0,11.0,COMPLETE
2,2,44.00281524658203,2024-06-17 22:54:06.078225,2024-06-17 23:03:31.115951,0 days 00:09:25.037726,6,False,True,,,,,,,0.22,263,7.0,,,,,,,3.0,,,,,,,0,False,True,,,,,,,2,3,26.0,118.0,COMPLETE
3,3,0.9766045808792114,2024-06-17 23:03:31.129951,2024-06-17 23:30:12.366890,0 days 00:26:41.236939,4,False,True,False,True,,,,,0.26,272,7.0,5.0,7.0,,,,,9.0,5.0,3.0,,,,,3,True,False,False,True,,,,,4,1,,,COMPLETE
4,4,2.3624022006988525,2024-06-17 23:07:05.545553,2024-06-17 23:16:05.556160,0 days 00:09:00.010607,9,False,False,False,True,True,True,True,True,0.04,214,6.0,8.0,6.0,7.0,6.0,7.0,5.0,3.0,3.0,11.0,7.0,5.0,7.0,9.0,0,False,False,True,False,True,True,True,,8,3,5.0,8.0,COMPLETE
5,5,1.032623052597046,2024-06-17 23:16:05.587390,2024-06-17 23:24:36.220150,0 days 00:08:30.632760,7,False,True,False,False,True,False,False,False,0.25,192,8.0,5.0,5.0,8.0,6.0,8.0,7.0,3.0,9.0,5.0,11.0,7.0,9.0,9.0,5,False,True,True,True,True,,,,8,1,,,COMPLETE
6,6,1.1083983182907104,2024-06-17 23:24:36.246907,2024-06-17 23:50:06.923709,0 days 00:25:30.676802,9,False,,,,,,,,0.06,212,,,,,,,,,,,,,,,4,False,,,,,,,,1,1,,,COMPLETE
7,7,2.305670976638794,2024-06-17 23:30:12.393802,2024-06-17 23:38:09.123858,0 days 00:07:56.730056,9,False,False,True,,,,,,0.33,161,7.0,8.0,,,,,,11.0,7.0,,,,,,2,False,False,False,,,,,,3,2,10.0,,COMPLETE
8,8,1.0342462062835693,2024-06-17 23:38:09.143793,2024-06-17 23:40:24.637832,0 days 00:02:15.494039,7,True,False,True,False,True,False,,,0.13,93,7.0,6.0,5.0,6.0,5.0,,,7.0,3.0,9.0,9.0,5.0,,,2,True,False,True,True,False,False,,,6,1,,,COMPLETE
9,9,0.8204400539398193,2024-06-17 23:40:24.666052,2024-06-18 02:16:38.133967,0 days 02:36:13.467915,6,False,False,False,True,True,False,False,True,0.3,277,8.0,6.0,8.0,8.0,5.0,6.0,7.0,11.0,11.0,11.0,11.0,3.0,3.0,11.0,3,False,False,True,False,False,True,False,False,8,2,65.0,,COMPLETE
10,10,1.2405176162719727,2024-06-17 23:50:06.944380,2024-06-18 00:20:25.921228,0 days 00:30:18.976848,7,True,False,,,,,,,0.11,255,8.0,,,,,,,11.0,,,,,,,4,False,True,,,,,,,2,3,9.0,58.0,COMPLETE
11,11,2.6288070678710938,2024-06-18 00:20:25.943534,2024-06-18 00:36:34.780495,0 days 00:16:08.836961,8,False,False,False,False,True,False,False,True,0.28,289,6.0,8.0,7.0,8.0,5.0,8.0,5.0,5.0,3.0,9.0,11.0,3.0,7.0,5.0,0,True,True,True,True,,,,,8,3,35.0,8.0,COMPLETE
12,12,2.1147780418395996,2024-06-18 00:36:34.802312,2024-06-18 01:10:53.284830,0 days 00:34:18.482518,4,True,True,False,True,False,,,,0.49,16,5.0,5.0,8.0,5.0,,,,9.0,5.0,3.0,5.0,,,,3,True,False,False,False,True,,,,5,2,128.0,,COMPLETE
13,13,0.9446943402290344,2024-06-18 01:10:53.307015,2024-06-18 02:30:23.577196,0 days 01:19:30.270181,4,False,True,False,True,,,,,0.37,150,8.0,5.0,5.0,,,,,9.0,9.0,5.0,,,,,5,True,True,False,True,,,,,4,1,,,COMPLETE
14,14,1.4012748003005981,2024-06-18 02:16:38.163301,2024-06-18 07:30:57.954174,0 days 05:14:19.790873,4,False,True,False,True,,,,,0.39,286,8.0,6.0,7.0,,,,,9.0,11.0,7.0,,,,,3,True,False,False,False,,,,,4,2,83.0,,COMPLETE
15,15,0.8943709135055542,2024-06-18 02:18:11.039813,2024-06-18 02:33:17.878713,0 days 00:15:06.838900,5,True,False,False,True,False,,,,0.43,109,5.0,6.0,8.0,7.0,,,,5.0,11.0,7.0,3.0,,,,5,True,False,True,False,False,,,,5,2,71.0,,COMPLETE
16,16,1.1227627992630005,2024-06-18 02:30:23.602255,2024-06-18 02:49:56.141686,0 days 00:19:32.539431,5,True,False,True,True,False,True,,,0.49,296,6.0,6.0,8.0,7.0,8.0,,,5.0,11.0,7.0,3.0,3.0,,,4,True,False,True,False,False,True,,,6,2,72.0,,COMPLETE
17,17,1.090636968612671,2024-06-18 02:33:17.903056,2024-06-18 02:47:10.046083,0 days 00:13:52.143027,5,True,False,True,False,False,True,,,0.5,228,6.0,7.0,7.0,8.0,8.0,,,5.0,7.0,9.0,11.0,3.0,,,4,True,False,True,False,False,True,,,6,2,53.0,,COMPLETE
18,18,2.5603067874908447,2024-06-18 02:47:10.064403,2024-06-18 03:40:16.938181,0 days 00:53:06.873778,5,True,False,False,False,True,False,,,0.4,297,6.0,7.0,8.0,6.0,8.0,,,11.0,11.0,11.0,5.0,9.0,,,1,False,False,True,False,False,True,,,6,2,86.0,,COMPLETE
